Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast5,HomeTeamGoalScoredLast5,HomeTeamGoalConcededLast5,HomeTeamShotTargetLast5,HomeTeamRedLast5,AwayTeamPointLast5,AwayTeamGoalScoredLast5,AwayTeamGoalConcededLast5,AwayTeamShotTargetLast5,AwayTeamRedLast5,HomeTeamPointH2HLast5,HomeTeamGoalScoredH2HLast5,HomeTeamGoalConcededH2HLast5,HomeTeamShotTargetH2HLast5,HomeTeamRedH2HLast5,AwayTeamPointH2HLast5,AwayTeamGoalScoredH2HLast5,AwayTeamGoalConcededH2HLast5,AwayTeamShotTargetH2HLast5,AwayTeamRedH2HLast5,FTR_Prediction
2022-08-05,Crystal Palace,Arsenal,0,2,A,2,2,0,0,10,7,5,24,0,9,9,8,31,1,8,11,7,28,0,5,7,11,21,0,D
2022-08-06,Fulham,Liverpool,2,2,D,3,4,0,0,1,2,10,14,0,13,9,4,32,0,4,4,10,15,0,10,10,4,33,0,A
2022-08-06,Bournemouth,Aston Villa,2,0,H,3,2,0,0,6,6,8,15,2,5,8,8,26,0,9,6,4,15,1,3,4,6,16,0,H
2022-08-06,Leeds,Wolves,2,1,H,4,6,0,0,4,4,11,15,2,2,5,14,17,0,8,8,7,27,0,5,7,8,29,2,H
2022-08-06,Newcastle,Nottingham,2,0,H,10,0,0,0,9,7,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H
2022-08-06,Tottenham,Southampton,4,1,H,8,2,0,0,13,13,2,37,0,1,5,13,16,0,5,8,9,31,0,8,9,8,29,2,H
2022-08-06,Everton,Chelsea,0,1,A,4,6,0,0,7,8,11,22,2,8,8,5,30,0,8,4,4,15,0,5,4,4,39,0,A
2022-08-07,Leicester,Brentford,2,2,D,5,3,0,0,10,14,5,31,0,7,7,7,23,1,12,8,4,20,0,0,4,8,22,0,H
2022-08-07,Man United,Brighton,1,2,A,5,4,0,0,4,5,9,22,0,11,13,4,33,0,9,6,9,31,0,6,9,6,21,2,A
2022-08-07,West Ham,Man City,0,2,A,1,2,0,0,4,8,8,14,1,13,19,5,33,0,2,7,10,13,0,11,10,7,37,0,A
2022-08-13,Aston Villa,Everton,2,1,H,4,4,0,0,2,5,9,21,0,4,6,11,22,2,13,8,0,14,0,1,0,8,9,0,H
2022-08-13,Arsenal,Leicester,4,2,H,7,2,0,0,9,9,7,26,1,11,15,5,27,0,15,11,1,30,0,0,1,11,25,0,H
2022-08-13,Brighton,Newcastle,0,0,D,7,1,0,0,13,13,3,32,0,9,6,7,25,0,5,7,6,24,2,8,6,7,11,0,H
2022-08-13,Man City,Bournemouth,4,0,H,7,1,0,0,13,17,5,29,0,9,8,5,17,2,15,14,3,29,1,0,3,14,13,0,H
2022-08-13,Southampton,Leeds,2,2,D,4,5,0,0,0,4,15,13,0,7,6,8,17,2,8,4,4,25,0,5,4,4,13,0,H
2022-08-13,Wolves,Fulham,0,0,D,1,3,0,0,2,6,13,22,0,2,4,10,14,0,10,5,6,21,0,4,6,5,33,0,H
2022-08-13,Brentford,Man United,4,0,H,7,4,0,0,7,9,9,24,1,4,5,8,22,0,0,2,12,24,0,12,12,2,20,0,A
2022-08-14,Nottingham,West Ham,1,0,H,6,5,0,0,0,0,2,0,0,4,8,9,13,0,0,0,0,0,0,0,0,0,0,0,A
2022-08-14,Chelsea,Tottenham,2,2,D,3,5,0,0,11,9,4,31,0,13,14,2,38,0,15,11,0,36,0,0,0,11,12,0,D
2022-08-15,Liverpool,Crystal Palace,1,1,D,4,3,1,0,11,10,6,26,0,7,5,6,21,0,15,14,2,39,0,0,2,14,18,0,H
2022-08-20,Tottenham,Wolves,1,0,H,4,3,0,0,13,15,3,40,0,2,4,11,19,0,9,4,4,39,0,6,4,4,29,0,H
2022-08-20,Crystal Palace,Aston Villa,3,1,H,9,5,0,0,5,5,7,17,0,5,6,8,21,0,5,7,8,22,0,8,8,7,19,0,H
2022-08-20,Everton,Nottingham,1,1,D,8,5,0,0,3,7,13,21,2,3,1,2,6,0,0,0,0,0,0,0,0,0,0,0,H
2022-08-20,Fulham,Brentford,3,2,H,9,5,0,0,3,4,8,14,0,10,13,6,27,1,0,0,0,0,0,0,0,0,0,0,A
2022-08-20,Leicester,Southampton,1,2,A,1,3,0,0,8,14,9,21,0,1,5,15,14,0,9,13,7,33,0,3,7,13,21,1,H
2022-08-20,Bournemouth,Arsenal,0,3,A,1,6,0,0,9,8,8,15,1,9,11,8,24,1,4,4,8,17,0,10,8,4,19,0,H
2022-08-21,Leeds,Chelsea,3,0,H,6,3,0,1,8,7,8,20,1,11,9,4,28,0,1,4,12,14,2,13,12,4,28,0,A
2022-08-21,West Ham,Brighton,0,2,A,3,2,0,0,4,7,8,15,0,11,10,3,30,0,3,5,9,19,0,9,9,5,22,0,A
2022-08-21,Newcastle,Man City,3,3,D,6,10,0,0,10,6,6,24,0,13,16,5,27,0,0,3,22,13,0,15,22,3,38,0,A
2022-08-22,Man United,Liverpool,2,1,H,4,5,0,0,3,4,11,23,0,11,10,6,27,1,0,2,22,13,2,15,22,2,34,0,A
2022-08-27,Southampton,Man United,0,1,A,5,6,0,0,4,7,13,13,0,3,3,12,22,0,4,4,13,15,2,7,13,4,38,0,H
2022-08-27,Brentford,Everton,1,1,D,5,7,0,0,7,12,9,27,1,4,6,11,24,0,12,8,4,22,0,0,4,8,20,4,H
2022-08-27,Brighton,Leeds,1,0,H,4,2,0,0,11,8,3,26,0,11,10,5,26,0,7,4,2,25,0,4,2,4,20,0,H
2022-08-27,Chelsea,Leicester,2,1,H,3,5,1,0,8,6,7,27,1,5,10,10,15,0,11,10,3,34,0,2,3,10,11,0,H
2022-08-27,Liverpool,Bournemouth,9,0,H,12,2,0,0,8,9,7,26,1,6,5,10,13,1,13,16,2,35,0,1,2,16,7,0,H
2022-08-27,Man City,Crystal Palace,4,2,H,5,2,0,0,11,14,7,32,0,7,7,7,22,0,5,2,4,17,2,8,4,2,12,0,H
2022-08-27,Arsenal,Fulham,2,1,H,8,3,0,0,12,14,5,26,0,6,6,7,20,0,13,14,3,33,0,1,3,14,16,0,H
2022-08-28,Aston Villa,West Ham,0,1,A,3,2,0,0,4,6,10,22,0,1,3,10,13,0,0,5,15,22,2,15,15,5,36,0,A
2022-08-28,Wolves,Newcastle,1,1,D,4,6,0,0,2,3,7,19,0,11,9,4,27,0,7,5,5,14,0,7,5,5,19,0,H
2022-08-28,Nottingham,Tottenham,0,2,A,1,7,0,0,4,2,3,11,0,13,13,3,38,0,0,0,0,0,0,0,0,0,0,0,A
2022-08-30,Crystal Palace,Brentford,1,1,D,4,3,0,0,7,7,8,19,0,5,10,8,25,1,4,0,0,10,0,4,0,0,10,0,H
2022-08-30,Fulham,Brighton,2,1,H,3,4,0,0,5,6,8,18,0,13,8,2,24,0,3,2,2,12,0,3,2,2,14,0,H
2022-08-30,Southampton,Chelsea,2,1,H,7,4,0,0,4,6,12,16,0,10,7,7,23,2,1,3,19,7,2,13,19,3,49,0,A
2022-08-30,Leeds,Everton,1,1,D,5,2,0,0,10,9,5,23,0,2,4,10,25,0,2,5,12,15,0,11,12,5,42,0,H
2022-08-31,Arsenal,Aston Villa,2,1,H,9,3,0,0,15,16,4,32,0,3,5,10,16,0,12,8,3,27,0,3,3,8,18,0,H
2022-08-31,Bournemouth,Wolves,0,0,D,2,4,0,0,3,3,18,9,0,2,3,7,19,0,0,1,2,2,1,3,2,1,7,0,H
2022-08-31,Man City,Nottingham,6,0,H,9,1,0,0,13,16,7,29,0,4,2,5,12,0,0,0,0,0,0,0,0,0,0,0,H
