Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast25,HomeTeamGoalScoredLast25,HomeTeamGoalConcededLast25,HomeTeamShotTargetLast25,HomeTeamRedLast25,HomeTeamRatingLast25,AwayTeamPointLast25,AwayTeamGoalScoredLast25,AwayTeamGoalConcededLast25,AwayTeamShotTargetLast25,AwayTeamRedLast25,AwayTeamRatingLast25,HomeTeamPointH2HLast5,HomeTeamGoalScoredH2HLast5,HomeTeamGoalConcededH2HLast5,HomeTeamShotTargetH2HLast5,HomeTeamRedH2HLast5,HomeTeamWin%H2HLast5,AwayTeamPointH2HLast5,AwayTeamGoalScoredH2HLast5,AwayTeamGoalConcededH2HLast5,AwayTeamShotTargetH2HLast5,AwayTeamRedH2HLast5,AwayTeamWin%H2HLast5,FTR_Prediction
2022-08-20,Crystal Palace,Aston Villa,3,1,H,9,5,0,0,33,32,28,102,1,14.0,29,33,33,114,1,12.600000000000003,5,7,8,22,0,20,8,8,7,19,0,40,H
2022-08-20,Everton,Nottingham,1,1,D,8,5,0,0,21,25,44,88,5,11.2,3,1,2,6,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,A
2022-08-20,Fulham,Brentford,3,2,H,9,5,0,0,19,16,32,85,1,6.700000000000002,33,35,37,105,2,17.900000000000006,0,0,0,0,0,0,0,0,0,0,0,0,A
2022-08-20,Leicester,Southampton,1,2,A,1,3,0,0,34,43,38,103,0,14.400000000000004,25,32,52,119,1,6.300000000000003,9,13,7,33,0,40,3,7,13,21,1,0,A
2022-08-20,Bournemouth,Arsenal,0,3,A,1,6,0,0,25,24,39,74,3,10.400000000000002,52,49,28,134,3,20.500000000000007,4,4,8,17,0,20,10,8,4,19,0,60,A
2022-08-21,Leeds,Chelsea,3,0,H,6,3,0,1,26,31,60,97,2,13.8,45,44,26,135,0,19.1,1,4,12,14,2,0,13,12,4,28,0,80,A
2022-08-21,West Ham,Brighton,0,2,A,3,2,0,0,29,32,35,88,2,9.800000000000004,35,30,29,104,1,17.6,3,5,9,19,0,0,9,9,5,22,0,40,A
2022-08-21,Newcastle,Man City,3,3,D,6,10,0,0,43,29,32,108,0,21.600000000000005,64,73,17,165,0,26.500000000000007,0,3,22,13,0,0,15,22,3,38,0,100,A
2022-08-22,Man United,Liverpool,2,1,H,4,5,0,0,34,33,39,121,0,9.200000000000005,60,53,17,160,2,25.20000000000001,0,2,22,13,2,0,15,22,2,34,0,100,A
2022-08-27,Southampton,Man United,0,1,A,5,6,0,0,28,34,50,116,1,8.500000000000002,34,34,40,120,0,11.500000000000004,4,4,13,15,2,0,7,13,4,38,0,20,H
2022-08-27,Brentford,Everton,1,1,D,5,7,0,0,30,35,39,105,2,16.8,22,25,42,90,5,11.000000000000004,12,8,4,22,0,100,0,4,8,20,4,0,H
2022-08-27,Brighton,Leeds,1,0,H,4,2,0,0,38,32,28,104,1,18.6,29,32,57,98,2,15.600000000000003,7,4,2,25,0,20,4,2,4,20,0,0,H
2022-08-27,Chelsea,Leicester,2,1,H,3,5,1,0,42,41,27,132,1,17.90000000000001,31,40,40,99,0,13.500000000000002,11,10,3,34,0,60,2,3,10,11,0,0,H
2022-08-27,Liverpool,Bournemouth,9,0,H,12,2,0,0,57,53,19,160,2,23.10000000000001,25,23,39,73,3,8.600000000000005,13,16,2,35,0,80,1,2,16,7,0,0,H
2022-08-27,Man City,Crystal Palace,4,2,H,5,2,0,0,62,75,20,165,0,25.300000000000004,33,32,28,105,1,16.400000000000002,5,2,4,17,2,20,8,4,2,12,0,40,H
2022-08-27,Arsenal,Fulham,2,1,H,8,3,0,0,52,49,28,135,3,21.90000000000001,21,18,33,90,1,8.9,13,14,3,33,0,80,1,3,14,16,0,0,H
2022-08-28,Aston Villa,West Ham,0,1,A,3,2,0,0,29,34,35,119,1,11.0,28,32,37,88,2,8.200000000000003,0,5,15,22,2,0,15,15,5,36,0,100,H
2022-08-28,Wolves,Newcastle,1,1,D,4,6,0,0,31,27,32,95,1,6.3000000000000025,44,32,31,111,0,20.10000000000001,7,5,5,14,0,40,7,5,5,19,0,40,A
2022-08-28,Nottingham,Tottenham,0,2,A,1,7,0,0,4,2,3,11,0,4.0,49,55,24,147,0,24.000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,A
2022-08-30,Crystal Palace,Brentford,1,1,D,4,3,0,0,32,32,30,101,1,14.800000000000004,31,36,38,104,2,16.500000000000004,4,0,0,10,0,0,4,0,0,10,0,0,H
2022-08-30,Fulham,Brighton,2,1,H,3,4,0,0,21,19,34,90,0,8.100000000000001,38,31,28,103,1,20.700000000000003,3,2,2,12,0,0,3,2,2,14,0,0,A
2022-08-30,Southampton,Chelsea,2,1,H,7,4,0,0,27,32,49,117,1,7.000000000000003,44,42,27,125,2,18.700000000000006,1,3,19,7,2,0,13,19,3,49,0,80,A
2022-08-30,Leeds,Everton,1,1,D,5,2,0,0,29,32,51,97,2,14.200000000000005,22,25,42,94,5,11.300000000000002,2,5,12,15,0,0,11,12,5,42,0,60,H
2022-08-31,Arsenal,Aston Villa,2,1,H,9,3,0,0,52,49,29,135,3,22.800000000000004,26,32,36,116,1,10.3,12,8,3,27,0,80,3,3,8,18,0,20,H
2022-08-31,Bournemouth,Wolves,0,0,D,2,4,0,0,22,20,47,69,3,8.500000000000004,29,27,33,94,1,6.8000000000000025,0,1,2,2,1,0,3,2,1,7,0,100,H
2022-08-31,Man City,Nottingham,6,0,H,9,1,0,0,62,72,22,155,0,25.60000000000001,4,2,5,12,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,H
2022-08-31,West Ham,Tottenham,1,1,D,4,4,0,0,31,33,35,89,1,10.200000000000005,51,56,23,143,0,25.000000000000007,9,6,7,14,0,60,6,7,6,20,0,40,A
