Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast40,HomeTeamGoalScoredLast40,HomeTeamGoalConcededLast40,HomeTeamShotTargetLast40,HomeTeamRedLast40,AwayTeamPointLast40,AwayTeamGoalScoredLast40,AwayTeamGoalConcededLast40,AwayTeamShotTargetLast40,AwayTeamRedLast40,HomeTeamPointH2HLast5,HomeTeamGoalScoredH2HLast5,HomeTeamGoalConcededH2HLast5,HomeTeamShotTargetH2HLast5,HomeTeamRedH2HLast5,AwayTeamPointH2HLast5,AwayTeamGoalScoredH2HLast5,AwayTeamGoalConcededH2HLast5,AwayTeamShotTargetH2HLast5,AwayTeamRedH2HLast5,FTR_Prediction
2022-08-28,Wolves,Newcastle,1,1,D,4,6,0,0,52,39,45,143,2,54,47,61,162,1,7,5,5,14,0,7,5,5,19,0,H
2022-08-28,Nottingham,Tottenham,0,2,A,1,7,0,0,4,2,3,11,0,75,75,43,212,1,0,0,0,0,0,0,0,0,0,0,A
2022-08-30,Crystal Palace,Brentford,1,1,D,4,3,0,0,51,56,51,160,1,47,55,62,168,3,4,0,0,10,0,4,0,0,10,0,H
2022-08-30,Fulham,Brighton,2,1,H,3,4,0,0,33,30,52,146,3,55,43,44,158,2,3,2,2,12,0,3,2,2,14,0,A
2022-08-30,Southampton,Chelsea,2,1,H,7,4,0,0,43,46,71,178,2,75,76,39,215,3,1,3,19,7,2,13,19,3,49,0,A
2022-08-30,Leeds,Everton,1,1,D,5,2,0,0,44,46,76,164,3,37,41,68,147,6,2,5,12,15,0,11,12,5,42,0,H
2022-08-31,Arsenal,Aston Villa,2,1,H,9,3,0,0,81,72,47,213,4,45,51,58,172,2,12,8,3,27,0,3,3,8,18,0,H
2022-08-31,Bournemouth,Wolves,0,0,D,2,4,0,0,42,43,71,131,3,53,40,45,141,2,0,1,2,2,1,3,2,1,7,0,A
2022-08-31,Man City,Nottingham,6,0,H,9,1,0,0,100,107,30,270,1,4,2,5,12,0,0,0,0,0,0,0,0,0,0,0,H
2022-08-31,West Ham,Tottenham,1,1,D,4,4,0,0,53,53,53,153,3,75,76,43,213,1,9,6,7,14,0,6,7,6,20,0,A
2022-08-31,Liverpool,Newcastle,2,1,H,6,2,0,0,91,102,31,264,2,55,48,60,167,1,13,9,3,45,0,1,3,9,12,0,H
2022-09-01,Leicester,Man United,0,1,A,2,2,0,0,50,66,65,176,0,60,55,62,194,2,11,12,7,31,0,2,7,12,23,0,H
2022-09-03,Everton,Liverpool,0,0,D,3,8,0,0,35,40,69,144,6,93,103,31,263,2,3,4,12,12,0,12,12,4,28,0,A
2022-09-03,Brentford,Leeds,5,2,H,8,6,0,0,47,55,62,169,3,44,46,76,167,3,2,6,8,16,2,8,8,6,24,0,D
2022-09-03,Chelsea,West Ham,2,1,H,3,3,0,0,74,76,40,216,2,53,52,52,153,3,9,7,6,30,0,6,6,7,16,3,H
2022-09-03,Newcastle,Crystal Palace,0,0,D,6,9,0,0,54,47,60,164,1,51,55,50,162,1,8,5,4,17,0,5,4,5,13,0,A
2022-09-03,Nottingham,Bournemouth,2,3,A,3,3,0,0,4,2,11,13,0,40,41,70,128,3,0,0,0,0,0,0,0,0,0,0,D
