Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast15,HomeTeamGoalScoredLast15,HomeTeamGoalConcededLast15,HomeTeamShotTargetLast15,HomeTeamRedLast15,AwayTeamPointLast15,AwayTeamGoalScoredLast15,AwayTeamGoalConcededLast15,AwayTeamShotTargetLast15,AwayTeamRedLast15,HomeTeamPointH2HLast5,HomeTeamGoalScoredH2HLast5,HomeTeamGoalConcededH2HLast5,HomeTeamShotTargetH2HLast5,HomeTeamRedH2HLast5,AwayTeamPointH2HLast5,AwayTeamGoalScoredH2HLast5,AwayTeamGoalConcededH2HLast5,AwayTeamShotTargetH2HLast5,AwayTeamRedH2HLast5,FTR_Prediction
2022-08-05,Crystal Palace,Arsenal,0,2,A,2,2,0,0,23,18,11,62,0,27,25,22,77,1,8,11,7,28,0,5,7,11,21,0,H
2022-08-06,Fulham,Liverpool,2,2,D,3,4,0,0,10,8,22,51,0,41,34,7,92,0,4,4,10,15,0,10,10,4,33,0,A
2022-08-06,Bournemouth,Aston Villa,2,0,H,3,2,0,0,10,12,27,39,3,18,21,18,79,0,9,6,4,15,1,3,4,6,16,0,A
2022-08-06,Leeds,Wolves,2,1,H,4,6,0,0,15,15,33,54,2,14,17,26,55,1,8,8,7,27,0,5,7,8,29,2,H
2022-08-06,Newcastle,Nottingham,2,0,H,10,0,0,0,28,19,18,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H
2022-08-06,Tottenham,Southampton,4,1,H,8,2,0,0,32,38,9,82,0,12,14,31,66,0,5,8,9,31,0,8,9,8,29,2,H
2022-08-06,Everton,Chelsea,0,1,A,4,6,0,0,17,15,26,46,5,30,30,15,90,0,8,4,4,15,0,5,4,4,39,0,A
2022-08-07,Leicester,Brentford,2,2,D,5,3,0,0,25,25,16,63,0,23,22,18,64,2,12,8,4,20,0,0,4,8,22,0,H
2022-08-07,Man United,Brighton,1,2,A,5,4,0,0,19,20,26,76,0,18,17,21,58,1,9,6,9,31,0,6,9,6,21,2,H
2022-08-07,West Ham,Man City,0,2,A,1,2,0,0,19,19,20,51,1,36,44,12,99,0,2,7,10,13,0,11,10,7,37,0,A
2022-08-13,Aston Villa,Everton,2,1,H,4,4,0,0,18,21,19,80,0,17,15,26,48,5,13,8,0,14,0,1,0,8,9,0,H
2022-08-13,Arsenal,Leicester,4,2,H,7,2,0,0,27,25,21,74,1,23,25,18,62,0,15,11,1,30,0,0,1,11,25,0,H
2022-08-13,Brighton,Newcastle,0,0,D,7,1,0,0,21,19,20,59,0,30,20,17,75,0,5,7,6,24,2,8,6,7,11,0,H
2022-08-13,Man City,Bournemouth,4,0,H,7,1,0,0,36,44,12,94,0,13,13,25,39,3,15,14,3,29,1,0,3,14,13,0,H
2022-08-13,Southampton,Leeds,2,2,D,4,5,0,0,11,14,34,64,0,18,15,30,52,2,8,4,4,25,0,5,4,4,13,0,H
2022-08-13,Wolves,Fulham,0,0,D,1,3,0,0,11,16,27,58,1,10,9,23,51,0,10,5,6,21,0,4,6,5,33,0,H
2022-08-13,Brentford,Man United,4,0,H,7,4,0,0,24,24,18,65,2,18,20,27,73,0,0,2,12,24,0,12,12,2,20,0,H
2022-08-14,Nottingham,West Ham,1,0,H,6,5,0,0,0,0,2,0,0,16,18,22,49,1,0,0,0,0,0,0,0,0,0,0,A
