Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,HomeTeamPointWeightLast20,HomeTeamGoalScoredWeightLast20,HomeTeamGoalConcededWeightLast20,HomeTeamShotTargetWeightLast20,HomeTeamRedWeightLast20,AwayTeamPointWeightLast20,AwayTeamGoalScoredWeightLast20,AwayTeamGoalConcededWeightLast20,AwayTeamShotTargetWeightLast20,AwayTeamRedWeightLast20,FTR_Prediction
2022-08-05,Crystal Palace,Arsenal,0,2,A,2,2,0,0,28,26,19,85,0,37,34,25,100,3,0.6083925320246546,0.6899309699219955,0.133135873809213,1.4578077112179415,0.0,0.6139983878134485,1.0424116272654451,0.0804106948204141,1.3261530948828557,0.0416000000002621,H
2022-08-06,Fulham,Liverpool,2,2,D,3,4,0,0,16,12,26,67,0,51,44,11,133,0,0.2426652672328204,0.0807169073482825,0.0960645843027964,0.8924537140593296,0.0,0.0699999983589707,0.1095585283198209,0.2816128016400358,1.1591203596264592,0.0,A
2022-08-06,Bournemouth,Aston Villa,2,0,H,3,2,0,0,16,15,30,59,3,23,28,26,101,1,0.2105600622601437,0.4004019413001018,0.4401621045952591,1.1061545406416238,1.2800001363148804e-05,0.0656476162821193,0.2928374825828431,0.4851842367583211,1.3908636130543877,0.0016,H
2022-08-06,Leeds,Wolves,2,1,H,4,6,0,0,22,24,43,78,2,26,25,29,79,1,0.721600075071572,0.7249280545601042,0.2941038887208852,1.64521960169439,1.5728640000000017e-12,0.7451523710989633,0.3367812399133465,0.0496931973274848,1.4248633307755971,4.096000000000002e-09,H
2022-08-06,Newcastle,Nottingham,2,0,H,10,0,0,0,39,26,21,91,0,0,0,0,0,0,0.2698716190672736,0.2532157492954346,0.2416672155264719,1.6793854243803077,0.0,0.0,0.0,0.0,0.0,0.0,H
2022-08-06,Tottenham,Southampton,4,1,H,8,2,0,0,38,46,20,110,0,20,24,39,97,1,0.6010064634403148,0.6170253140186629,0.5079055607477043,2.157089083443936,0.0,0.3226700845940736,0.3706548471543208,0.2663063028533979,0.7284210333828987,0.2,H
2022-08-06,Everton,Chelsea,0,1,A,4,6,0,0,20,20,34,65,5,36,37,21,109,0,0.0048015492266328,0.2128006603217672,0.4647708273943773,1.0801349577949262,3.1744005242880016e-06,0.6485599360144692,0.6564727252944894,0.257920597238806,1.05106331508034,0.0,A
2022-08-07,Leicester,Brentford,2,2,D,5,3,0,0,27,31,26,82,0,26,27,31,82,2,0.0418321008278424,0.4436619723198589,0.6598457640029364,1.013885307754235,0.0,0.6000131716949214,0.4419229159269702,0.389574255448026,0.9812799591420004,5.120000104857602e-07,H
2022-08-07,Man United,Brighton,1,2,A,5,4,0,0,27,27,31,97,0,27,25,26,80,1,0.0692306580296171,0.1060200084361707,0.2883895759551437,0.6870265289824431,0.0,0.6505600070564762,0.6502405138204119,0.4497727906906741,1.1861297349400934,6.400000000000002e-05,H
2022-08-07,West Ham,Man City,0,2,A,1,2,0,0,28,30,27,73,1,49,55,17,124,0,0.744208959931207,0.9392927187296428,0.2851482963569594,1.44856073055646,6.5536000000000055e-12,0.7493522774014874,1.2581052521199751,0.6083277840715561,1.9477786717262449,0.0,A
