Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast30,HomeTeamGoalScoredLast30,HomeTeamGoalConcededLast30,HomeTeamShotTargetLast30,HomeTeamRedLast30,HomeTeamRatingLast30,AwayTeamPointLast30,AwayTeamGoalScoredLast30,AwayTeamGoalConcededLast30,AwayTeamShotTargetLast30,AwayTeamRedLast30,AwayTeamRatingLast30,HomeTeamPointH2HLast5,HomeTeamGoalScoredH2HLast5,HomeTeamGoalConcededH2HLast5,HomeTeamShotTargetH2HLast5,HomeTeamRedH2HLast5,HomeTeamWin%H2HLast5,AwayTeamPointH2HLast5,AwayTeamGoalScoredH2HLast5,AwayTeamGoalConcededH2HLast5,AwayTeamShotTargetH2HLast5,AwayTeamRedH2HLast5,AwayTeamWin%H2HLast5,FTR_Prediction
2022-08-05,Crystal Palace,Arsenal,0,2,A,2,2,0,0,40,40,33,123,1,13.400000000000002,58,54,36,165,3,15.20000000000001,8,11,7,28,0,40,5,7,11,21,0,20,A
2022-08-06,Fulham,Liverpool,2,2,D,3,4,0,0,24,20,38,105,2,4.400000000000004,74,72,20,195,1,25.00000000000001,4,4,10,15,0,20,10,10,4,33,0,60,A
2022-08-06,Bournemouth,Aston Villa,2,0,H,3,2,0,0,29,30,50,94,3,7.900000000000001,35,40,42,133,2,10.400000000000004,9,6,4,15,1,75,3,4,6,16,0,25,H
2022-08-06,Leeds,Wolves,2,1,H,4,6,0,0,32,35,64,123,2,9.200000000000005,39,30,35,106,2,7.400000000000004,8,8,7,27,0,40,5,7,8,29,2,20,H
2022-08-06,Newcastle,Nottingham,2,0,H,10,0,0,0,46,34,43,120,0,20.000000000000007,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,A
2022-08-06,Tottenham,Southampton,4,1,H,8,2,0,0,56,60,28,162,0,20.8,33,37,57,140,1,4.900000000000004,5,8,9,31,0,20,8,9,8,29,2,40,H
2022-08-06,Everton,Chelsea,0,1,A,4,6,0,0,25,30,57,104,6,12.7,55,60,30,173,0,14.800000000000004,8,4,4,15,0,40,5,4,4,39,0,20,A
2022-08-07,Leicester,Brentford,2,2,D,5,3,0,0,41,49,45,135,0,14.400000000000004,34,38,49,125,2,15.8,12,8,4,20,0,100,0,4,8,22,0,0,H
2022-08-07,Man United,Brighton,1,2,A,5,4,0,0,44,41,47,139,2,10.300000000000008,36,34,39,122,2,15.500000000000002,9,6,9,31,0,60,6,9,6,21,2,40,H
2022-08-07,West Ham,Man City,0,2,A,1,2,0,0,42,45,41,115,2,8.900000000000006,76,83,23,214,1,21.800000000000008,2,7,10,13,0,0,11,10,7,37,0,60,A
2022-08-13,Aston Villa,Everton,2,1,H,4,4,0,0,35,39,41,131,2,8.200000000000003,25,28,53,104,6,11.1,13,8,0,14,0,80,1,0,8,9,0,0,H
2022-08-13,Arsenal,Leicester,4,2,H,7,2,0,0,58,53,35,158,3,16.90000000000001,39,49,46,134,0,14.8,15,11,1,30,0,100,0,1,11,25,0,0,H
2022-08-13,Brighton,Newcastle,0,0,D,7,1,0,0,39,35,36,121,2,16.50000000000001,48,35,42,128,0,20.800000000000004,5,7,6,24,2,20,8,6,7,11,0,40,H
2022-08-13,Man City,Bournemouth,4,0,H,7,1,0,0,76,81,22,202,1,22.600000000000012,32,31,48,92,3,9.0,15,14,3,29,1,100,0,3,14,13,0,0,H
2022-08-13,Southampton,Leeds,2,2,D,4,5,0,0,32,36,59,138,1,4.100000000000003,34,36,64,123,2,11.400000000000002,8,4,4,25,0,40,5,4,4,13,0,20,H
2022-08-13,Wolves,Fulham,0,0,D,1,3,0,0,38,30,36,108,2,5.700000000000006,25,20,37,102,2,4.3000000000000025,10,5,6,21,0,60,4,6,5,33,0,20,H
2022-08-13,Brentford,Man United,4,0,H,7,4,0,0,35,39,49,123,2,14.800000000000002,44,42,44,140,1,8.600000000000003,0,2,12,24,0,0,12,12,2,20,0,100,H
