Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10,Home_Win_Prob,Draw_Prob,Away_Win_Prob,FTR_Prediction
2022-08-21,West Ham,Brighton,0,2,A,3,2,0,0,22,23,27,68,1,27,23,24,82,1,6,12,19,37,0,18,19,12,45,0,0.3431648199288357,0.2776921720645974,0.3791430080065668,H
2022-08-21,Newcastle,Man City,3,3,D,6,10,0,0,41,26,19,93,0,49,54,14,121,0,1,7,32,26,0,28,32,7,76,0,0.150661026906939,0.1817112610374286,0.6676277120556324,D
2022-08-22,Man United,Liverpool,2,1,H,4,5,0,0,26,26,34,98,0,52,45,11,131,1,6,5,26,26,2,21,26,5,53,0,0.1147534596261472,0.185510637662794,0.6997359027110587,A
2022-08-27,Southampton,Man United,0,1,A,5,6,0,0,20,23,41,88,0,26,25,34,97,0,7,9,20,35,3,16,20,9,64,0,0.3018788280418207,0.2939874325664584,0.4041337393917208,H
2022-08-27,Brentford,Everton,1,1,D,5,7,0,0,27,32,28,88,2,21,20,32,72,5,12,8,4,22,0,0,4,8,20,4,0.6702728609856755,0.1710405543182761,0.1586865846960483,H
2022-08-27,Brighton,Leeds,1,0,H,4,2,0,0,29,24,23,82,1,23,25,42,77,2,10,5,2,27,0,4,2,5,22,0,0.6234635172041774,0.2075037369857995,0.1690327458100231,H
2022-08-27,Chelsea,Leicester,2,1,H,3,5,1,0,35,34,22,106,1,27,33,28,80,0,17,15,9,60,0,8,9,15,27,1,0.5559875718314494,0.2386617321608068,0.2053506960077437,H
2022-08-27,Liverpool,Bournemouth,9,0,H,12,2,0,0,49,43,13,123,1,17,15,34,55,3,19,22,7,46,0,4,7,22,22,0,0.8477022655923439,0.1060553290512386,0.0462424053564174,H
2022-08-27,Man City,Crystal Palace,4,2,H,5,2,0,0,47,55,16,129,0,28,24,19,86,0,16,15,6,52,2,10,6,15,18,0,0.6944412659478016,0.1744746800446048,0.1310840540075934,H
2022-08-27,Arsenal,Fulham,2,1,H,8,3,0,0,42,37,25,102,2,19,15,26,71,0,19,22,11,77,2,7,11,22,46,2,0.6058845370121524,0.2480485205461461,0.1460669424417014,H
2022-08-28,Aston Villa,West Ham,0,1,A,3,2,0,0,22,27,28,95,1,19,21,29,66,1,5,8,20,48,3,23,20,8,50,1,0.4681303432315221,0.285799378497122,0.2460702782713559,D
2022-08-28,Wolves,Newcastle,1,1,D,4,6,0,0,18,20,30,76,1,39,28,22,96,0,14,12,11,38,0,11,11,12,36,2,0.2797893038377643,0.3022501716091771,0.4179605245530585,A
2022-08-28,Nottingham,Tottenham,0,2,A,1,7,0,0,4,2,3,11,0,42,48,16,111,0,0,0,0,0,0,0,0,0,0,0,0.1215130258108909,0.2028226495299671,0.6756643246591418,A
2022-08-30,Crystal Palace,Brentford,1,1,D,4,3,0,0,28,25,20,83,0,28,32,26,85,2,4,0,0,10,0,4,0,0,10,0,0.4572920071164035,0.2137982446266803,0.3289097482569162,H
2022-08-30,Fulham,Brighton,2,1,H,3,4,0,0,18,16,28,72,0,31,24,22,81,1,3,2,2,12,0,3,2,2,14,0,0.3239513859070814,0.2610634245248476,0.4149851895680709,A
2022-08-30,Southampton,Chelsea,2,1,H,7,4,0,0,19,22,41,90,0,38,36,22,108,2,5,11,32,32,2,23,32,11,75,0,0.1751864264215977,0.2171568877424871,0.6076566858359151,A
2022-08-30,Leeds,Everton,1,1,D,5,2,0,0,22,22,40,71,2,19,18,33,69,5,6,7,20,38,0,21,20,7,75,0,0.444901676699465,0.229439347197694,0.325658976102841,H
2022-08-31,Arsenal,Aston Villa,2,1,H,9,3,0,0,42,38,26,108,1,21,24,26,94,0,24,22,8,54,1,6,8,22,39,0,0.5172485742737302,0.2638159977207462,0.2189354280055235,H
2022-08-31,Bournemouth,Wolves,0,0,D,2,4,0,0,16,15,43,52,3,19,21,30,76,1,0,1,2,2,1,3,2,1,7,0,0.2895402886993578,0.3013624075027734,0.4090973037978688,D
2022-08-31,Man City,Nottingham,6,0,H,9,1,0,0,47,58,18,128,0,4,2,5,12,0,0,0,0,0,0,0,0,0,0,0,0.832659993507383,0.1106252218160197,0.0567147846765972,H
2022-08-31,West Ham,Tottenham,1,1,D,4,4,0,0,22,20,26,63,1,45,50,14,111,0,11,14,18,31,0,17,18,14,47,1,0.1372236899002413,0.2050974362598477,0.6576788738399109,A
2022-08-31,Liverpool,Newcastle,2,1,H,6,2,0,0,49,49,12,128,1,37,26,22,93,0,22,17,7,67,0,4,7,17,25,0,0.7054571642616905,0.1826012329172371,0.1119416028210725,H
2022-09-01,Leicester,Man United,0,1,A,2,2,0,0,26,32,28,83,0,26,25,34,100,0,13,17,16,47,1,13,16,17,51,0,0.4436660430188995,0.2673090229954268,0.2890249339856735,H
2022-09-03,Everton,Liverpool,0,0,D,3,8,0,0,20,19,32,71,5,49,49,13,123,1,6,9,21,27,1,21,21,9,50,0,0.1080298838959799,0.2628148260948818,0.6291552900091383,A
2022-09-03,Brentford,Leeds,5,2,H,8,6,0,0,29,32,25,87,2,23,23,38,76,2,2,6,8,16,2,8,8,6,24,0,0.6339013665473568,0.2064356019564132,0.1596630314962298,H
2022-09-03,Chelsea,West Ham,2,1,H,3,3,0,0,37,36,23,109,2,23,21,26,66,1,14,11,9,57,0,14,9,11,25,3,0.6162116979124224,0.2333296499490824,0.1504586521384951,H
2022-09-03,Newcastle,Crystal Palace,0,0,D,6,9,0,0,34,26,24,93,0,28,25,20,82,0,19,10,5,41,0,7,5,10,30,0,0.4136413379678914,0.2694672863204146,0.3168913757116938,H
2022-09-03,Nottingham,Bournemouth,2,3,A,3,3,0,0,4,2,11,13,0,14,14,43,48,3,0,0,0,0,0,0,0,0,0,0,0.5740024411662766,0.2194764634874608,0.2065210953462624,H
2022-09-03,Tottenham,Fulham,2,1,H,10,3,0,0,43,48,13,110,0,18,16,29,72,0,25,19,6,67,0,4,6,19,55,0,0.768362809431879,0.1563450886630877,0.0752921019050333,H
2022-09-03,Wolves,Southampton,1,0,H,2,1,0,0,17,19,30,73,1,19,21,40,87,0,23,18,11,43,0,5,11,18,63,0,0.4416346466434508,0.3261484560674617,0.2322168972890874,H
2022-09-03,Aston Villa,Man City,1,1,D,1,4,0,0,21,25,27,96,0,49,63,17,132,0,1,8,27,24,1,28,27,8,69,2,0.100938334927533,0.1766940208723891,0.7223676442000778,A
2022-09-04,Brighton,Leicester,5,2,H,11,4,0,0,28,23,24,79,1,26,31,27,78,0,9,8,16,34,0,18,16,8,46,2,0.3801696991803574,0.2799185734202217,0.3399117273994209,A
