Combo,Accuracy
"('GoalScoredH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",64.16382252559727
"('GoalScoredLast20', 'ShotTargetH2HLast10', 'RedH2HLast10', 'GoalConcededLast20')",64.16382252559727
"('GoalScoredH2HLast10', 'RedH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",64.50511945392492
"('GoalScoredLast20', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'GoalConcededLast20')",64.50511945392492
"('GoalScoredLast20', 'ShotTargetH2HLast10', 'RedLast20', 'GoalConcededLast20', 'GoalConcededH2HLast10')",64.50511945392492
"('GoalScoredLast20', 'GoalConcededLast20')",64.50511945392492
"('PointH2HLast10',)",64.50511945392492
"('PointH2HLast10', 'GoalScoredH2HLast10', 'RedH2HLast10', 'GoalConcededH2HLast10')",64.50511945392492
"('GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedLast20', 'GoalConcededLast20', 'GoalConcededH2HLast10')",64.50511945392492
"('GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",64.50511945392492
"('PointH2HLast10', 'ShotTargetH2HLast10', 'RedLast20', 'GoalConcededLast20')",64.50511945392492
"('PointLast20', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'GoalConcededLast20')",64.84641638225256
"('ShotTargetH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",64.84641638225256
"('ShotTargetLast20', 'PointH2HLast10', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",64.84641638225256
"('PointH2HLast10', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'RedLast20')",64.84641638225256
"('GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'GoalConcededH2HLast10')",64.84641638225256
"('PointH2HLast10', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'GoalConcededH2HLast10')",64.84641638225256
"('ShotTargetH2HLast10', 'GoalConcededLast20')",64.84641638225256
"('GoalConcededLast20', 'GoalConcededH2HLast10')",64.84641638225256
"('ShotTargetLast20', 'GoalScoredLast20', 'PointH2HLast10', 'GoalConcededLast20')",64.84641638225256
"('PointH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'RedLast20', 'GoalConcededLast20')",64.84641638225256
"('GoalScoredLast20', 'PointH2HLast10', 'ShotTargetH2HLast10')",64.84641638225256
"('ShotTargetLast20', 'PointH2HLast10', 'GoalScoredH2HLast10')",64.84641638225256
"('GoalScoredLast20', 'PointH2HLast10', 'GoalScoredH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",64.84641638225256
"('GoalScoredH2HLast10', 'RedLast20', 'GoalConcededH2HLast10')",64.84641638225256
"('GoalScoredH2HLast10', 'RedLast20', 'GoalConcededLast20')",64.84641638225256
"('ShotTargetH2HLast10', 'RedH2HLast10', 'GoalConcededH2HLast10')",64.84641638225256
"('PointH2HLast10', 'GoalScoredH2HLast10', 'GoalConcededLast20')",65.18771331058021
"('PointLast20', 'RedH2HLast10', 'RedLast20')",65.18771331058021
"('GoalScoredLast20', 'PointH2HLast10', 'RedH2HLast10', 'RedLast20', 'GoalConcededLast20')",65.18771331058021
"('GoalScoredLast20', 'PointH2HLast10', 'RedH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",65.18771331058021
"('GoalScoredLast20', 'RedH2HLast10', 'RedLast20', 'GoalConcededLast20')",65.18771331058021
"('ShotTargetLast20', 'GoalScoredH2HLast10', 'RedH2HLast10', 'RedLast20', 'GoalConcededH2HLast10')",65.18771331058021
"('ShotTargetLast20', 'PointH2HLast10', 'ShotTargetH2HLast10', 'RedLast20')",65.18771331058021
"('GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedLast20', 'GoalConcededH2HLast10')",65.18771331058021
"('RedLast20', 'GoalConcededLast20', 'GoalConcededH2HLast10')",65.18771331058021
"('PointLast20', 'PointH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'GoalConcededLast20')",65.18771331058021
"('PointH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'RedLast20', 'GoalConcededH2HLast10')",65.18771331058021
"('PointH2HLast10', 'GoalScoredH2HLast10', 'RedH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",65.18771331058021
"('ShotTargetLast20', 'ShotTargetH2HLast10')",65.18771331058021
"('PointH2HLast10', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10')",65.18771331058021
