Date,HomeTeam,AwayTeam,HomeTeamShotTargetLast20,HomeTeamRatingLast20,AwayTeamShotTargetLast20,AwayTeamRatingLast20,HomeTeamWin%H2HLast10,AwayTeamWin%H2HLast10,FTR,FTR_Prediction
2022-10-01,West Ham,Wolves,67,8.3,71,8.8,50.0,40.0,H,H
2022-10-02,Man City,Man United,127,26.9,95,17.0,60.0,30.0,H,H
2022-10-02,Leeds,Aston Villa,76,13.6,95,11.3,20.0,40.0,D,H
2022-10-03,Leicester,Nottingham,79,8.5,19,3.2,0.0,0.0,H,H
2022-10-08,Bournemouth,Leicester,44,11.9,83,10.7,25.0,12.5,H,H
2022-10-08,Chelsea,Wolves,105,20.3,74,8.0,30.0,20.0,H,H
2022-10-08,Man City,Southampton,133,27.4,71,7.3,60.0,0.0,H,H
2022-10-08,Newcastle,Brentford,98,17.4,95,15.8,50.0,0.0,H,H
2022-10-08,Brighton,Tottenham,92,20.9,114,23.8,40.0,50.0,A,A
2022-10-09,Crystal Palace,Leeds,91,13.3,75,13.3,16.66666667,50.0,H,A
2022-10-09,West Ham,Fulham,69,10.6,69,10.8,40.0,30.0,H,H
2022-10-09,Arsenal,Liverpool,111,24.6,126,22.0,0.0,80.0,H,A
2022-10-09,Everton,Man United,77,15.3,96,15.6,20.0,40.0,A,A
2022-10-10,Nottingham,Aston Villa,22,2.9,93,11.1,0.0,0.0,D,H
2022-10-14,Brentford,Brighton,97,14.4,95,19.1,0.0,100.0,H,A
2022-10-15,Leicester,Crystal Palace,84,9.5,91,14.5,40.0,20.0,D,H
2022-10-15,Fulham,Bournemouth,68,9.6,45,13.7,0.0,100.0,D,A
2022-10-15,Wolves,Nottingham,71,7.1,25,3.8,0.0,0.0,H,H
2022-10-15,Tottenham,Everton,114,24.7,76,13.7,50.0,10.0,H,H
2022-10-16,Aston Villa,Chelsea,86,11.1,107,20.8,10.0,80.0,A,A
2022-10-16,Leeds,Arsenal,76,12.3,116,25.8,10.0,80.0,A,A
2022-10-16,Man United,Newcastle,91,17.0,100,18.7,60.0,20.0,D,H
2022-10-16,Southampton,West Ham,70,6.7,73,12.4,30.0,40.0,D,A
2022-10-16,Liverpool,Man City,114,19.4,133,28.2,20.0,20.0,H,A
2022-10-18,Brighton,Nottingham,98,17.7,27,3.5,0.0,0.0,D,H
2022-10-18,Crystal Palace,Wolves,88,14.5,68,9.3,62.5,25.0,H,H
2022-10-19,Bournemouth,Southampton,51,14.0,73,7.1,25.0,37.5,A,H
2022-10-19,Brentford,Chelsea,94,15.6,104,22.6,50.0,50.0,D,H
2022-10-19,Liverpool,West Ham,111,20.5,72,12.5,80.0,20.0,H,H
2022-10-19,Newcastle,Everton,100,18.2,74,12.6,40.0,40.0,H,H
2022-10-19,Man United,Tottenham,90,16.9,114,25.5,70.0,30.0,H,A
2022-10-20,Fulham,Aston Villa,69,10.2,86,10.1,30.0,30.0,H,H
2022-10-20,Leicester,Leeds,86,9.4,76,10.9,40.0,30.0,H,H
2022-10-22,Nottingham,Liverpool,27,4.3,109,21.2,0.0,0.0,H,A
2022-10-22,Everton,Crystal Palace,70,11.3,84,15.7,60.0,20.0,H,H
2022-10-22,Man City,Brighton,129,25.4,102,16.9,90.0,10.0,H,H
2022-10-22,Chelsea,Man United,106,21.1,98,18.3,0.0,30.0,D,H
2022-10-23,Aston Villa,Brentford,91,9.3,95,15.2,0.0,50.0,H,A
2022-10-23,Leeds,Fulham,77,9.9,77,12.0,50.0,37.5,A,A
2022-10-23,Southampton,Arsenal,69,9.5,117,26.7,20.0,50.0,D,A
2022-10-23,Wolves,Leicester,69,8.4,84,11.5,20.0,40.0,A,A
2022-10-23,Tottenham,Newcastle,112,23.1,98,19.5,70.0,10.0,A,H
2022-10-24,West Ham,Bournemouth,71,11.3,52,12.5,33.33333333,33.33333333,H,H
2022-10-29,Leicester,Man City,86,13.4,129,26.2,10.0,90.0,A,A
2022-10-29,Bournemouth,Tottenham,55,11.7,111,20.9,0.0,85.71428571,A,A
2022-10-29,Brentford,Wolves,92,13.4,66,7.6,50.0,50.0,D,H
2022-10-29,Brighton,Chelsea,104,15.5,100,20.9,0.0,40.0,H,A
2022-10-29,Crystal Palace,Southampton,85,14.7,66,9.8,40.0,30.0,H,H
2022-10-29,Newcastle,Aston Villa,102,20.9,97,11.3,30.0,40.0,H,H
2022-10-29,Fulham,Everton,76,14.8,73,13.2,10.0,80.0,D,H
2022-10-29,Liverpool,Leeds,113,19.3,75,8.5,80.0,0.0,A,H
2022-10-30,Arsenal,Nottingham,117,25.6,34,7.0,0.0,0.0,H,H
2022-10-30,Man United,West Ham,98,18.2,74,13.3,70.0,20.0,H,H
2022-11-05,Leeds,Bournemouth,75,10.5,55,10.5,0.0,0.0,H,H
2022-11-05,Man City,Fulham,128,26.7,75,14.3,80.0,0.0,H,H
2022-11-05,Nottingham,Brentford,36,6.7,89,13.2,0.0,0.0,D,A
2022-11-05,Wolves,Brighton,65,8.0,109,16.6,37.5,37.5,A,H
2022-11-05,Everton,Leicester,74,12.9,88,12.5,50.0,20.0,A,H
2022-11-06,Chelsea,Arsenal,93,18.6,123,26.5,40.0,40.0,A,A
2022-11-06,Aston Villa,Man United,89,10.5,96,19.3,20.0,50.0,H,A
2022-11-06,Southampton,Newcastle,69,8.9,105,21.9,10.0,50.0,A,A
2022-11-06,West Ham,Crystal Palace,74,12.4,83,15.9,40.0,20.0,A,H
2022-11-06,Tottenham,Liverpool,113,21.8,120,17.0,0.0,50.0,A,H
2022-11-12,Man City,Brentford,128,27.3,84,12.4,100.0,0.0,A,H
2022-11-12,Bournemouth,Everton,59,9.7,75,11.8,37.5,37.5,H,A
2022-11-12,Liverpool,Southampton,122,18.4,71,8.2,90.0,10.0,H,H
2022-11-12,Nottingham,Crystal Palace,43,7.1,86,18.0,0.0,0.0,H,A
2022-11-12,Tottenham,Leeds,118,19.9,76,12.4,80.0,10.0,H,H
2022-11-12,West Ham,Leicester,75,11.1,94,14.1,50.0,20.0,A,H
2022-11-12,Newcastle,Chelsea,102,23.0,92,17.3,20.0,80.0,H,H
2022-11-12,Wolves,Arsenal,68,7.2,119,27.3,20.0,50.0,A,A
2022-11-13,Brighton,Aston Villa,114,18.2,90,12.2,12.5,62.5,A,H
2022-11-13,Fulham,Man United,74,13.8,95,18.4,0.0,80.0,A,A
