Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,HomeTeamRatingLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,AwayTeamRatingLast20,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,HomeTeamWin%H2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10,AwayTeamWin%H2HLast10,FTR_Prediction
2022-08-21,Newcastle,Man City,3,3,D,6,10,0,0,41,26,19,93,0,21.600000000000005,49,54,14,121,0,27.700000000000006,1,7,32,26,0,0.0,28,32,7,76,0,90.0,A
2022-08-22,Man United,Liverpool,2,1,H,4,5,0,0,26,26,34,98,0,10.2,52,45,11,131,1,26.20000000000001,6,5,26,26,2,10.0,21,26,5,53,0,60.0,A
2022-08-27,Southampton,Man United,0,1,A,5,6,0,0,20,23,41,88,0,9.1,26,25,34,97,0,12.000000000000002,7,9,20,35,3,0.0,16,20,9,64,0,30.0,H
2022-08-27,Brentford,Everton,1,1,D,5,7,0,0,27,32,28,88,2,17.1,21,20,32,72,5,11.200000000000005,12,8,4,22,0,100.0,0,4,8,20,4,0.0,H
2022-08-27,Brighton,Leeds,1,0,H,4,2,0,0,29,24,23,82,1,19.6,23,25,42,77,2,15.900000000000002,10,5,2,27,0,33.33333333333333,4,2,5,22,0,0.0,H
2022-08-27,Chelsea,Leicester,2,1,H,3,5,1,0,35,34,22,106,1,18.50000000000001,27,33,28,80,0,13.8,17,15,9,60,0,40.0,8,9,15,27,1,10.0,H
2022-08-27,Liverpool,Bournemouth,9,0,H,12,2,0,0,49,43,13,123,1,23.800000000000008,17,15,34,55,3,9.600000000000003,19,22,7,46,0,75.0,4,7,22,22,0,12.5,H
2022-08-27,Man City,Crystal Palace,4,2,H,5,2,0,0,47,55,16,129,0,26.500000000000007,28,24,19,86,0,16.900000000000002,16,15,6,52,2,40.0,10,6,15,18,0,20.0,H
2022-08-27,Arsenal,Fulham,2,1,H,8,3,0,0,42,37,25,102,2,23.100000000000005,19,15,26,71,0,9.0,19,22,11,77,2,50.0,7,11,22,46,2,10.0,H
2022-08-28,Aston Villa,West Ham,0,1,A,3,2,0,0,22,27,28,95,1,11.6,19,21,29,66,1,8.500000000000002,5,8,20,48,3,10.0,23,20,8,50,1,70.0,H
2022-08-28,Wolves,Newcastle,1,1,D,4,6,0,0,18,20,30,76,1,7.300000000000002,39,28,22,96,0,20.20000000000001,14,12,11,38,0,30.0,11,11,12,36,2,20.0,H
2022-08-28,Nottingham,Tottenham,0,2,A,1,7,0,0,4,2,3,11,0,4.0,42,48,16,111,0,24.800000000000004,0,0,0,0,0,0.0,0,0,0,0,0,0.0,A
2022-08-30,Crystal Palace,Brentford,1,1,D,4,3,0,0,28,25,20,83,0,15.100000000000003,28,32,26,85,2,16.800000000000004,4,0,0,10,0,0.0,4,0,0,10,0,0.0,A
2022-08-30,Fulham,Brighton,2,1,H,3,4,0,0,18,16,28,72,0,8.3,31,24,22,81,1,21.300000000000004,3,2,2,12,0,0.0,3,2,2,14,0,0.0,A
2022-08-30,Southampton,Chelsea,2,1,H,7,4,0,0,19,22,41,90,0,8.000000000000002,38,36,22,108,2,19.300000000000008,5,11,32,32,2,10.0,23,32,11,75,0,70.0,A
2022-08-30,Leeds,Everton,1,1,D,5,2,0,0,22,22,40,71,2,14.800000000000002,19,18,33,69,5,11.300000000000002,6,7,20,38,0,10.0,21,20,7,75,0,60.0,H
2022-08-31,Arsenal,Aston Villa,2,1,H,9,3,0,0,42,38,26,108,1,23.700000000000006,21,24,26,94,0,10.4,24,22,8,54,1,80.0,6,8,22,39,0,20.0,H
2022-08-31,Bournemouth,Wolves,0,0,D,2,4,0,0,16,15,43,52,3,9.200000000000005,19,21,30,76,1,7.600000000000002,0,1,2,2,1,0.0,3,2,1,7,0,100.0,A
2022-08-31,Man City,Nottingham,6,0,H,9,1,0,0,47,58,18,128,0,26.800000000000008,4,2,5,12,0,3.7,0,0,0,0,0,0.0,0,0,0,0,0,0.0,H
2022-08-31,West Ham,Tottenham,1,1,D,4,4,0,0,22,20,26,63,1,10.8,45,50,14,111,0,25.90000000000001,11,14,18,31,0,30.0,17,18,14,47,1,50.0,A
2022-08-31,Liverpool,Newcastle,2,1,H,6,2,0,0,49,49,12,128,1,24.000000000000007,37,26,22,93,0,19.50000000000001,22,17,7,67,0,60.0,4,7,17,25,0,0.0,H
2022-09-01,Leicester,Man United,0,1,A,2,2,0,0,26,32,28,83,0,12.600000000000003,26,25,34,100,0,13.6,13,17,16,47,1,30.0,13,16,17,51,0,30.0,H
2022-09-03,Everton,Liverpool,0,0,D,3,8,0,0,20,19,32,71,5,11.1,49,49,13,123,1,24.90000000000001,6,9,21,27,1,10.0,21,21,9,50,0,60.0,A
2022-09-03,Brentford,Leeds,5,2,H,8,6,0,0,29,32,25,87,2,16.400000000000002,23,23,38,76,2,14.600000000000003,2,6,8,16,2,0.0,8,8,6,24,0,50.0,H
2022-09-03,Chelsea,West Ham,2,1,H,3,3,0,0,37,36,23,109,2,18.000000000000007,23,21,26,66,1,10.6,14,11,9,57,0,40.0,14,9,11,25,3,40.0,H
2022-09-03,Newcastle,Crystal Palace,0,0,D,6,9,0,0,34,26,24,93,0,17.300000000000008,28,25,20,82,0,15.100000000000003,19,10,5,41,0,50.0,7,5,10,30,0,10.0,A
2022-09-03,Nottingham,Bournemouth,2,3,A,3,3,0,0,4,2,11,13,0,3.6,14,14,43,48,3,8.9,0,0,0,0,0,0.0,0,0,0,0,0,0.0,H
2022-09-03,Tottenham,Fulham,2,1,H,10,3,0,0,43,48,13,110,0,24.60000000000001,18,16,29,72,0,10.1,25,19,6,67,0,80.0,4,6,19,55,0,10.0,H
2022-09-03,Wolves,Southampton,1,0,H,2,1,0,0,17,19,30,73,1,7.500000000000002,19,21,40,87,0,10.1,23,18,11,43,0,70.0,5,11,18,63,0,10.0,H
2022-09-03,Aston Villa,Man City,1,1,D,1,4,0,0,21,25,27,96,0,9.4,49,63,17,132,0,27.800000000000008,1,8,27,24,1,0.0,28,27,8,69,2,90.0,A
2022-09-04,Brighton,Leicester,5,2,H,11,4,0,0,28,23,24,79,1,19.7,26,31,27,78,0,11.100000000000003,9,8,16,34,0,20.0,18,16,8,46,2,50.0,A
2022-09-04,Man United,Arsenal,3,1,H,6,3,0,0,28,25,33,97,0,15.4,42,38,26,109,1,24.90000000000001,12,13,17,53,0,30.0,15,17,13,51,0,40.0,A
2022-09-16,Aston Villa,Southampton,1,0,H,3,1,0,0,22,26,27,96,0,9.300000000000002,18,20,40,84,0,9.100000000000003,10,17,20,57,0,30.0,19,20,17,48,0,60.0,H
2022-09-16,Nottingham,Fulham,2,3,A,3,7,0,0,4,4,14,16,0,3.3000000000000003,17,16,30,72,0,9.5,0,0,0,0,0,0.0,0,0,0,0,0,0.0,H
2022-09-17,Wolves,Man City,0,3,A,1,7,1,0,17,18,29,72,1,9.7,47,62,18,129,0,26.100000000000005,7,10,24,26,2,20.0,22,24,10,69,1,70.0,A
2022-09-17,Newcastle,Bournemouth,1,1,D,7,3,0,0,34,25,23,96,0,16.800000000000004,17,16,43,48,3,11.6,10,8,8,27,0,50.0,7,8,8,28,0,33.33333333333333,H
2022-09-17,Tottenham,Leicester,6,2,H,11,7,0,0,46,50,13,118,0,25.40000000000001,23,31,32,76,0,10.000000000000002,21,25,18,59,0,70.0,9,18,25,45,0,30.0,H
2022-09-18,Brentford,Arsenal,0,3,A,2,7,0,0,32,37,25,93,2,18.000000000000007,39,37,28,107,1,22.500000000000004,6,6,4,10,0,50.0,6,4,6,24,0,50.0,A
2022-09-18,Everton,West Ham,1,0,H,2,4,0,0,21,19,31,72,5,11.4,20,21,28,66,1,9.6,7,8,14,37,2,20.0,22,14,8,41,0,70.0,H
2022-10-01,Arsenal,Tottenham,3,1,H,9,3,0,1,39,37,26,110,1,23.700000000000003,46,52,15,118,0,26.30000000000001,16,16,16,48,2,50.0,13,16,16,51,2,40.0,A
2022-10-01,Bournemouth,Brentford,0,0,D,1,4,0,0,18,16,42,49,2,11.500000000000002,31,37,28,93,2,16.500000000000004,0,0,0,0,0,0.0,0,0,0,0,0,0.0,A
2022-10-01,Crystal Palace,Chelsea,1,2,A,3,3,0,0,28,25,20,88,0,14.3,37,36,24,105,2,18.500000000000007,3,5,24,13,0,10.0,27,24,5,61,0,90.0,A
2022-10-01,Fulham,Newcastle,1,4,A,1,10,1,0,17,18,32,72,0,11.3,32,24,24,92,0,15.900000000000004,14,11,10,52,1,40.0,14,10,11,72,0,40.0,H
2022-10-01,Liverpool,Brighton,3,3,D,7,6,0,0,47,48,13,127,1,23.10000000000001,31,28,24,87,0,21.2,21,21,8,59,1,60.0,6,8,21,35,0,10.0,H
2022-10-01,Southampton,Everton,1,2,A,6,5,0,0,15,18,41,74,0,8.200000000000001,24,20,26,74,5,13.100000000000003,13,15,13,52,1,40.0,16,13,15,32,1,50.0,H
2022-10-01,West Ham,Wolves,2,0,H,5,4,0,0,19,19,27,67,1,8.3,17,17,30,71,2,8.799999999999999,16,12,8,46,0,50.0,13,8,12,47,0,40.0,H
2022-10-02,Man City,Man United,6,3,H,10,8,0,0,47,61,18,127,0,26.90000000000001,30,27,33,95,0,17.000000000000004,19,20,11,61,0,60.0,10,11,20,31,0,30.0,H
2022-10-02,Leeds,Aston Villa,0,0,D,1,7,1,0,23,23,39,76,2,13.6,22,25,27,95,0,11.300000000000002,10,12,16,45,0,20.0,16,16,12,56,2,40.0,A
2022-10-03,Leicester,Nottingham,4,0,H,7,3,0,0,20,32,38,79,0,8.500000000000002,4,6,17,19,0,3.2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,H
2022-10-08,Bournemouth,Leicester,2,1,H,4,5,0,0,19,14,39,44,2,11.900000000000002,23,36,36,83,0,10.7,11,9,8,23,1,25.0,8,8,9,31,1,12.5,A
2022-10-08,Chelsea,Wolves,3,0,H,7,2,0,0,37,37,25,105,2,20.3,17,17,31,74,2,8.000000000000002,14,16,11,52,0,30.0,11,11,16,27,0,20.0,H
2022-10-08,Man City,Southampton,4,0,H,8,0,0,0,50,65,18,133,0,27.40000000000001,12,17,43,71,0,7.300000000000002,22,19,7,53,0,60.0,4,7,19,33,0,0.0,H
2022-10-08,Newcastle,Brentford,5,1,H,6,3,0,0,32,26,24,98,0,17.40000000000001,32,36,26,95,2,15.800000000000002,8,10,6,40,0,50.0,2,6,10,10,2,0.0,A
2022-10-08,Brighton,Tottenham,0,1,A,4,3,0,0,32,31,24,92,0,20.9,43,48,18,114,1,23.800000000000004,13,10,11,37,0,40.0,16,11,10,42,0,50.0,A
2022-10-09,Crystal Palace,Leeds,2,1,H,5,4,0,0,28,26,21,91,0,13.3,24,23,33,75,3,13.300000000000002,5,4,5,25,0,16.666666666666664,11,5,4,20,0,50.0,H
2022-10-09,West Ham,Fulham,3,1,H,8,2,0,0,21,20,26,69,1,10.6,16,19,36,69,1,10.8,15,17,12,66,2,40.0,12,12,17,55,1,30.0,H
2022-10-09,Arsenal,Liverpool,3,2,H,7,3,0,0,39,38,27,111,1,24.6,45,48,15,126,1,22.000000000000007,2,6,29,26,0,0.0,26,29,6,67,0,80.0,A
2022-10-09,Everton,Man United,1,2,A,2,4,0,0,27,22,26,77,4,15.300000000000006,27,28,39,96,0,15.600000000000003,10,10,17,26,0,20.0,16,17,10,61,0,40.0,H
2022-10-10,Nottingham,Aston Villa,1,1,D,3,2,0,0,4,6,21,22,0,2.9000000000000004,20,21,27,93,0,11.100000000000003,0,0,0,0,0,0.0,0,0,0,0,0,0.0,H
2022-10-14,Brentford,Brighton,2,0,H,3,7,0,0,32,37,29,97,1,14.400000000000002,32,31,23,95,0,19.1,0,0,6,14,0,0.0,12,6,0,14,0,100.0,A
2022-10-15,Leicester,Crystal Palace,0,0,D,5,1,0,0,20,35,37,84,0,9.500000000000002,28,24,21,91,0,14.500000000000002,16,15,18,34,2,40.0,10,18,15,39,0,20.0,H
