Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast10,HomeTeamGoalScoredLast10,HomeTeamGoalConcededLast10,HomeTeamShotTargetLast10,HomeTeamRedLast10,HomeTeamRatingLast10,AwayTeamPointLast10,AwayTeamGoalScoredLast10,AwayTeamGoalConcededLast10,AwayTeamShotTargetLast10,AwayTeamRedLast10,AwayTeamRatingLast10,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,HomeTeamWin%H2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10,AwayTeamWin%H2HLast10,FTR_Prediction
2022-08-05,Crystal Palace,Arsenal,0,2,A,2,2,0,0,15,11,8,42,0,12.2,15,17,17,55,1,12.6,12,17,16,45,0,20.0,12,16,17,47,1,20.0,H
2022-08-06,Fulham,Liverpool,2,2,D,3,4,0,0,2,5,20,31,0,1.8,26,21,6,51,0,20.8,10,9,22,53,0,30.0,19,22,9,84,1,60.0,A
2022-08-06,Bournemouth,Aston Villa,2,0,H,3,2,0,0,10,8,16,25,2,8.200000000000001,9,11,15,49,0,7.400000000000001,9,6,4,15,1,75.0,3,4,6,16,0,25.0,H
2022-08-06,Leeds,Wolves,2,1,H,4,6,0,0,15,13,15,38,2,11.2,8,10,20,39,1,5.800000000000001,11,13,12,41,1,37.5,11,12,13,41,2,37.5,H
2022-08-06,Newcastle,Nottingham,2,0,H,10,0,0,0,18,12,14,44,0,15.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,H
2022-08-06,Tottenham,Southampton,4,1,H,8,2,0,0,23,25,5,52,0,18.5,5,8,24,36,0,3.5000000000000004,15,19,15,56,1,40.0,12,15,19,54,2,30.0,H
2022-08-06,Everton,Chelsea,0,1,A,4,6,0,0,14,13,17,37,2,11.2,15,19,14,65,0,12.3,16,8,7,27,0,40.0,10,7,8,65,0,20.0,A
2022-08-07,Leicester,Brentford,2,2,D,5,3,0,0,15,19,12,43,0,12.6,19,18,11,51,1,14.9,12,8,4,20,0,100.0,0,4,8,22,0,0.0,A
2022-08-07,Man United,Brighton,1,2,A,5,4,0,0,11,12,19,47,0,8.100000000000001,18,16,10,46,0,15.0,18,15,16,55,0,60.0,12,16,15,37,2,40.0,H
2022-08-07,West Ham,Man City,0,2,A,1,2,0,0,11,14,16,33,1,8.4,24,31,8,61,0,19.4,3,9,26,20,0,0.0,24,26,9,73,0,70.0,A
2022-08-13,Aston Villa,Everton,2,1,H,4,4,0,0,9,11,16,50,0,7.000000000000001,14,11,15,37,2,10.4,22,16,10,34,0,70.0,7,10,16,34,0,20.0,H
2022-08-13,Arsenal,Leicester,4,2,H,7,2,0,0,18,19,14,54,1,15.0,13,19,13,45,0,11.3,21,19,11,58,1,70.0,9,11,19,49,0,30.0,H
2022-08-13,Brighton,Newcastle,0,0,D,7,1,0,0,21,18,9,50,0,17.300000000000004,21,14,13,48,0,17.099999999999998,16,12,6,41,3,40.0,10,6,12,28,0,20.0,H
2022-08-13,Man City,Bournemouth,4,0,H,7,1,0,0,26,33,8,59,0,21.000000000000007,10,9,16,26,2,9.0,24,27,4,59,2,100.0,0,4,27,18,0,0.0,H
2022-08-13,Southampton,Leeds,2,2,D,4,5,0,0,5,8,26,31,0,3.5000000000000004,15,13,15,35,2,12.1,16,10,11,55,0,40.0,10,11,10,46,1,20.0,A
2022-08-13,Wolves,Fulham,0,0,D,1,3,0,0,5,10,22,42,1,3.5000000000000004,3,7,19,34,0,2.6,18,10,10,44,1,50.0,9,10,10,53,0,20.0,H
2022-08-13,Brentford,Man United,4,0,H,7,4,0,0,17,18,13,50,1,13.2,8,10,19,46,0,6.199999999999999,0,2,12,24,0,0.0,12,12,2,20,0,100.0,H
2022-08-14,Nottingham,West Ham,1,0,H,6,5,0,0,0,0,2,0,0,0.0,8,12,17,30,1,6.1,0,0,0,0,0,0.0,0,0,0,0,0,0.0,A
2022-08-14,Chelsea,Tottenham,2,2,D,3,5,0,0,18,19,10,63,0,15.000000000000002,23,26,5,56,0,18.9,22,17,7,50,0,70.0,7,7,17,36,1,20.0,H
2022-08-15,Liverpool,Crystal Palace,1,1,D,4,3,1,0,24,21,8,52,0,19.200000000000003,14,11,10,43,0,11.2,30,28,4,76,0,100.0,0,4,28,33,1,0.0,H
2022-08-20,Tottenham,Wolves,1,0,H,4,3,0,0,21,23,6,55,0,17.2,6,8,19,35,0,4.5,20,13,9,76,0,60.0,8,9,13,56,0,20.0,H
2022-08-20,Crystal Palace,Aston Villa,3,1,H,9,5,0,0,12,9,11,41,0,9.7,12,12,15,49,0,9.5,12,10,13,40,0,30.0,15,13,10,39,2,40.0,A
2022-08-20,Everton,Nottingham,1,1,D,8,5,0,0,11,11,17,38,2,8.299999999999999,3,1,2,6,0,3.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,H
2022-08-20,Fulham,Brentford,3,2,H,9,5,0,0,4,6,17,31,0,3.6,20,21,11,51,1,15.500000000000002,0,0,0,0,0,0.0,0,0,0,0,0,0.0,A
2022-08-20,Leicester,Southampton,1,2,A,1,3,0,0,13,20,15,45,0,10.6,5,9,27,29,0,3.5000000000000004,19,27,10,66,0,50.0,7,10,27,44,3,10.0,H
2022-08-20,Bournemouth,Arsenal,0,3,A,1,6,0,0,10,9,19,27,2,8.700000000000001,21,22,14,57,1,17.099999999999998,5,8,18,33,1,11.11111111111111,20,18,8,37,0,66.66666666666666,A
2022-08-21,Leeds,Chelsea,3,0,H,6,3,0,1,13,12,15,34,2,10.7,16,15,12,52,0,13.3,5,10,20,30,2,10.0,23,20,10,69,0,70.0,A
2022-08-21,West Ham,Brighton,0,2,A,3,2,0,0,8,11,15,34,1,5.800000000000001,21,18,9,53,0,16.7,6,12,19,37,0,0.0,18,19,12,45,0,40.0,A
2022-08-21,Newcastle,Man City,3,3,D,6,10,0,0,22,13,8,48,0,17.2,26,35,8,60,0,21.000000000000004,1,7,32,26,0,0.0,28,32,7,76,0,90.0,A
2022-08-22,Man United,Liverpool,2,1,H,4,5,0,0,7,9,22,45,0,5.0,22,20,9,53,1,17.200000000000003,6,5,26,26,2,10.0,21,26,5,53,0,60.0,A
2022-08-27,Southampton,Man United,0,1,A,5,6,0,0,8,11,22,31,0,6.5,10,11,22,45,0,7.9,7,9,20,35,3,0.0,16,20,9,64,0,30.0,A
2022-08-27,Brentford,Everton,1,1,D,5,7,0,0,17,19,13,50,1,13.000000000000002,11,11,17,43,2,8.000000000000002,12,8,4,22,0,100.0,0,4,8,20,4,0.0,H
2022-08-27,Brighton,Leeds,1,0,H,4,2,0,0,21,18,8,52,0,17.2,15,14,14,37,2,12.6,10,5,2,27,0,33.33333333333333,4,2,5,22,0,0.0,H
2022-08-27,Chelsea,Leicester,2,1,H,3,5,1,0,16,13,11,53,1,12.7,12,20,16,43,0,9.5,17,15,9,60,0,40.0,8,9,15,27,1,10.0,H
2022-08-27,Liverpool,Bournemouth,9,0,H,12,2,0,0,21,19,9,54,1,15.8,9,8,21,24,2,7.500000000000001,19,22,7,46,0,75.0,4,7,22,22,0,12.5,H
2022-08-27,Man City,Crystal Palace,4,2,H,5,2,0,0,26,36,9,65,0,20.4,15,11,10,47,0,12.3,16,15,6,52,2,40.0,10,6,15,18,0,20.0,H
2022-08-27,Arsenal,Fulham,2,1,H,8,3,0,0,24,25,13,57,1,19.2,7,8,16,33,0,6.300000000000001,19,22,11,77,2,50.0,7,11,22,46,2,10.0,H
