Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast30,HomeTeamGoalScoredLast30,HomeTeamGoalConcededLast30,HomeTeamShotTargetLast30,HomeTeamRedLast30,AwayTeamPointLast30,AwayTeamGoalScoredLast30,AwayTeamGoalConcededLast30,AwayTeamShotTargetLast30,AwayTeamRedLast30,HomeTeamPointH2HLast5,HomeTeamGoalScoredH2HLast5,HomeTeamGoalConcededH2HLast5,HomeTeamShotTargetH2HLast5,HomeTeamRedH2HLast5,AwayTeamPointH2HLast5,AwayTeamGoalScoredH2HLast5,AwayTeamGoalConcededH2HLast5,AwayTeamShotTargetH2HLast5,AwayTeamRedH2HLast5
2015-08-08,Bournemouth,Aston Villa,0,1,A,2,3,0,0,0,0,0,0,0,28,27,45,114,7,0,0,0,0,0,0,0,0,0,0
2015-08-08,Chelsea,Swansea,2,2,D,3,10,1,0,65,50,24,162,3,45,35,39,115,3,15,13,2,44,0,0,2,13,15,1
2015-08-08,Everton,Watford,2,2,D,5,5,0,0,38,32,34,127,2,24,22,46,131,2,6,5,1,7,0,0,1,5,11,0
2015-08-08,Leicester,Sunderland,4,2,H,8,5,0,0,32,35,42,112,4,30,23,38,104,2,8,4,2,23,0,5,2,4,24,1
2015-08-08,Man United,Tottenham,1,0,H,1,4,0,0,58,47,25,141,3,53,48,42,140,2,6,7,5,21,0,6,5,7,31,0
2015-08-08,Norwich,Crystal Palace,1,3,A,6,7,0,0,26,22,49,122,2,40,36,37,108,2,6,6,5,26,1,3,5,6,25,0
2015-08-09,Arsenal,West Ham,0,2,A,6,4,0,0,64,58,25,189,2,34,29,36,114,1,15,16,4,49,0,0,4,16,17,0
2015-08-09,Newcastle,Southampton,2,2,D,4,5,0,0,32,32,49,113,6,44,35,28,120,3,4,6,13,19,0,10,13,6,31,0
2015-08-09,Stoke,Liverpool,0,1,A,1,3,0,0,43,40,36,110,1,49,39,36,152,3,6,12,9,27,0,9,9,12,33,0
2015-08-10,West Brom,Man City,0,3,A,2,7,0,0,35,28,40,104,3,62,65,30,180,1,0,4,13,21,1,15,13,4,41,0
2015-08-14,Aston Villa,Man United,0,1,A,1,2,0,0,31,28,43,111,7,60,47,24,135,3,1,3,14,18,1,13,14,3,32,0
2015-08-15,Southampton,Everton,0,3,A,4,4,0,0,42,36,30,123,3,36,31,35,126,2,7,6,3,22,0,7,3,6,18,0
2015-08-15,Sunderland,Norwich,1,3,A,2,6,0,0,30,25,40,106,2,25,23,52,118,2,5,5,5,26,2,8,5,5,25,1
2015-08-15,Swansea,Newcastle,2,0,H,6,2,0,1,43,35,41,122,3,30,32,50,115,6,13,11,5,25,0,1,5,11,22,0
2015-08-15,Tottenham,Stoke,2,2,D,7,7,0,0,53,47,41,142,2,43,40,36,110,1,9,7,6,33,2,6,6,7,20,2
2015-08-15,Watford,West Brom,0,0,D,5,0,0,0,24,24,48,133,2,34,26,41,102,3,0,0,0,0,0,0,0,0,0,0
2015-08-15,West Ham,Leicester,1,2,A,3,6,1,0,34,29,35,114,1,35,39,42,116,4,7,6,5,23,0,7,5,6,24,1
2015-08-16,Crystal Palace,Arsenal,1,2,A,4,7,0,0,42,37,36,109,2,61,56,27,190,2,0,3,13,14,1,15,13,3,32,1
2015-08-16,Man City,Chelsea,3,0,H,8,3,0,0,65,67,28,182,1,65,51,25,161,3,5,5,5,29,1,8,5,5,15,0
2015-08-17,Liverpool,Bournemouth,1,0,H,2,2,0,0,51,40,36,151,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2015-08-22,Crystal Palace,Aston Villa,2,1,H,6,2,0,0,42,37,35,112,1,31,27,42,111,6,10,4,1,25,0,4,1,4,20,0
2015-08-22,Leicester,Tottenham,1,1,D,2,6,0,0,38,41,42,117,4,51,47,42,142,2,4,11,13,39,1,10,13,11,26,0
2015-08-22,Man United,Newcastle,0,0,D,8,0,0,0,63,48,23,135,2,27,31,52,114,7,12,12,5,27,0,3,5,12,24,0
2015-08-22,Norwich,Stoke,1,1,D,7,1,0,0,28,26,46,123,2,43,40,36,111,1,7,3,3,21,0,7,3,3,18,1
2015-08-22,Sunderland,Swansea,1,1,D,2,9,0,0,27,23,42,101,2,45,37,41,128,2,3,2,8,11,0,9,8,2,26,1
2015-08-22,West Ham,Bournemouth,3,4,A,4,7,1,0,33,28,35,115,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
2015-08-23,Everton,Man City,0,2,A,1,9,0,0,38,34,35,127,2,65,69,28,184,1,4,6,8,19,1,10,8,6,28,0
2015-08-23,Watford,Southampton,0,0,D,0,5,0,0,24,24,48,136,2,39,35,33,124,3,0,0,0,0,0,0,0,0,0,0
2015-08-23,West Brom,Chelsea,2,3,A,6,5,0,1,32,25,41,99,3,62,49,27,156,3,5,6,6,14,1,8,6,6,41,1
2015-08-24,Arsenal,Liverpool,0,0,D,5,8,0,0,61,55,28,184,2,54,41,35,150,3,8,11,10,32,0,5,10,11,33,2
2015-08-29,Aston Villa,Sunderland,2,2,D,6,3,0,0,30,28,44,109,6,27,23,42,100,2,11,11,1,35,1,2,1,11,11,1
2015-08-29,Bournemouth,Leicester,1,1,D,2,2,0,0,3,4,5,11,0,39,42,41,119,4,0,0,0,0,0,0,0,0,0,0
