Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast15,HomeTeamGoalScoredLast15,HomeTeamGoalConcededLast15,HomeTeamShotTargetLast15,HomeTeamRedLast15,AwayTeamPointLast15,AwayTeamGoalScoredLast15,AwayTeamGoalConcededLast15,AwayTeamShotTargetLast15,AwayTeamRedLast15,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10
2015-08-08,Bournemouth,Aston Villa,0,1,A,2,3,0,0,0,0,0,0,0,16,20,27,63,2,0,0,0,0,0,0,0,0,0,0
2015-08-08,Chelsea,Swansea,2,2,D,3,10,1,0,34,21,12,71,2,23,19,19,69,0,20,19,5,68,2,2,5,19,31,1
2015-08-08,Everton,Watford,2,2,D,5,5,0,0,21,17,16,66,1,13,15,27,63,0,6,5,1,7,0,0,1,5,11,0
2015-08-08,Leicester,Sunderland,4,2,H,8,5,0,0,24,25,18,63,0,15,10,20,55,1,9,4,2,25,0,6,2,4,29,1
2015-08-08,Man United,Tottenham,1,0,H,1,4,0,0,27,23,15,76,2,24,23,23,68,1,16,17,9,69,1,10,9,17,69,0
2015-08-08,Norwich,Crystal Palace,1,3,A,6,7,0,0,9,10,27,63,0,25,22,17,56,1,6,6,5,26,1,3,5,6,25,0
2015-08-09,Arsenal,West Ham,0,2,A,6,4,0,0,33,27,11,97,0,11,9,20,54,1,28,27,7,104,1,1,7,27,42,1
2015-08-09,Newcastle,Southampton,2,2,D,4,5,0,0,9,11,28,53,4,18,17,16,66,1,14,14,20,63,0,14,20,14,69,0
2015-08-09,Stoke,Liverpool,0,1,A,1,3,0,0,22,22,17,63,1,24,19,21,77,2,14,15,11,40,0,14,11,15,69,1
2015-08-10,West Brom,Man City,0,3,A,2,7,0,0,22,18,19,54,2,31,37,15,99,0,1,5,24,49,2,28,24,5,89,2
2015-08-14,Aston Villa,Man United,0,1,A,1,2,0,0,19,20,25,65,2,29,23,14,71,1,2,8,27,43,1,26,27,8,81,0
2015-08-15,Southampton,Everton,0,3,A,4,4,0,0,16,18,18,66,1,21,19,18,70,1,10,12,12,49,0,16,12,12,48,0
2015-08-15,Sunderland,Norwich,1,3,A,2,6,0,0,14,11,23,59,1,9,10,28,63,0,5,6,7,32,2,11,7,6,33,1
2015-08-15,Swansea,Newcastle,2,0,H,6,2,0,1,23,20,20,72,0,9,12,29,54,4,17,13,8,47,0,5,8,13,42,0
2015-08-15,Tottenham,Stoke,2,2,D,7,7,0,0,21,21,23,64,1,21,21,17,61,1,17,14,12,91,3,11,12,14,46,2
2015-08-15,Watford,West Brom,0,0,D,5,0,0,0,14,17,25,67,0,21,16,20,51,2,0,0,0,0,0,0,0,0,0,0
2015-08-15,West Ham,Leicester,1,2,A,3,6,1,0,13,10,19,52,1,27,29,19,66,0,7,6,6,35,1,10,6,6,26,1
2015-08-16,Crystal Palace,Arsenal,1,2,A,4,7,0,0,25,24,18,61,1,33,26,11,100,0,1,4,14,15,1,16,14,4,45,1
2015-08-16,Man City,Chelsea,3,0,H,8,3,0,0,33,39,14,101,0,32,21,13,69,3,12,9,10,58,2,15,10,9,43,0
2015-08-17,Liverpool,Bournemouth,1,0,H,2,2,0,0,26,20,21,74,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2015-08-22,Crystal Palace,Aston Villa,2,1,H,6,2,0,0,24,24,19,62,1,19,20,24,62,2,11,5,2,33,0,5,2,5,25,0
2015-08-22,Leicester,Tottenham,1,1,D,2,6,0,0,30,30,18,68,0,22,21,22,66,1,7,16,20,59,2,16,20,16,41,0
2015-08-22,Man United,Newcastle,0,0,D,8,0,0,0,29,21,13,66,1,8,11,30,55,5,20,19,9,73,0,8,9,19,47,1
2015-08-22,Norwich,Stoke,1,1,D,7,1,0,0,11,13,29,67,0,22,22,15,63,1,8,4,4,28,1,8,4,4,23,1
2015-08-22,Sunderland,Swansea,1,1,D,2,9,0,0,14,12,24,56,1,26,22,18,75,0,8,6,10,24,0,11,10,6,46,2
2015-08-22,West Ham,Bournemouth,3,4,A,4,7,1,0,12,11,21,54,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
2015-08-23,Everton,Man City,0,2,A,1,9,0,0,24,22,17,70,0,33,38,13,101,0,14,12,13,40,2,14,13,12,75,1
2015-08-23,Watford,Southampton,0,0,D,0,5,0,0,15,17,24,69,0,15,18,21,63,1,0,0,0,0,0,0,0,0,0,0
2015-08-23,West Brom,Chelsea,2,3,A,6,5,0,1,19,14,20,47,2,29,20,16,65,3,11,11,18,45,1,17,18,11,95,1
2015-08-24,Arsenal,Liverpool,0,0,D,5,8,0,0,33,26,11,100,0,26,18,19,69,2,16,17,15,65,2,10,15,17,62,3
2015-08-29,Aston Villa,Sunderland,2,2,D,6,3,0,0,19,20,24,62,1,14,13,25,56,1,16,14,5,62,2,10,5,14,36,3
2015-08-29,Bournemouth,Leicester,1,1,D,2,2,0,0,3,4,5,11,0,30,29,17,66,0,0,0,0,0,0,0,0,0,0,0
2015-08-29,Chelsea,Crystal Palace,1,2,A,9,6,0,0,31,22,17,65,3,27,25,18,65,1,15,11,4,44,1,3,4,11,21,1
2015-08-29,Liverpool,West Ham,0,3,A,1,5,1,1,24,16,19,73,2,11,12,23,53,2,22,22,12,91,0,7,12,22,40,1
2015-08-29,Man City,Watford,2,0,H,5,0,0,0,33,35,13,101,0,13,16,24,64,0,2,1,1,13,0,2,1,1,5,0
2015-08-29,Newcastle,Arsenal,0,1,A,0,9,1,0,9,11,25,54,5,31,24,10,101,0,5,11,24,38,0,23,24,11,70,3
2015-08-29,Stoke,West Brom,0,1,A,5,5,2,0,20,21,15,58,1,18,16,23,52,2,18,11,5,32,0,9,5,11,66,0
2015-08-29,Tottenham,Everton,0,0,D,6,3,0,0,22,20,21,64,1,23,20,17,68,0,15,11,9,62,0,12,9,11,50,0
2015-08-30,Southampton,Norwich,3,0,H,8,1,0,1,16,18,19,63,1,12,14,28,68,0,8,10,9,33,0,8,9,10,29,0
2015-08-30,Swansea,Man United,2,1,H,4,4,0,0,24,21,18,78,0,30,20,11,71,1,7,7,14,45,0,16,14,7,70,0
2015-09-12,Arsenal,Stoke,2,0,H,12,4,0,0,31,23,10,106,0,17,20,16,61,3,17,15,10,61,1,11,10,15,36,0
2015-09-12,Crystal Palace,Man City,0,1,A,2,7,0,0,27,24,18,66,0,36,36,11,105,0,3,4,12,13,0,15,12,4,36,0
2015-09-12,Everton,Chelsea,3,1,H,9,2,0,0,24,20,15,69,0,28,22,19,71,3,10,11,16,55,2,19,16,11,74,0
2015-09-12,Man United,Liverpool,3,1,H,3,4,0,0,27,19,13,65,1,21,14,21,69,3,19,16,14,52,1,10,14,16,60,2
2015-09-12,Norwich,Bournemouth,3,1,H,4,2,0,0,9,13,31,66,1,4,5,6,13,0,0,0,0,0,0,0,0,0,0,0
2015-09-12,Watford,Swansea,1,0,H,6,3,1,0,12,15,25,58,0,24,22,19,80,0,0,0,0,0,0,0,0,0,0,0
2015-09-12,West Brom,Southampton,0,0,D,1,4,0,0,18,16,23,54,2,19,21,18,69,1,15,9,5,42,1,12,5,9,49,3
2015-09-13,Leicester,Aston Villa,3,2,H,6,4,0,0,31,30,16,66,0,20,22,25,65,1,8,8,14,37,3,14,14,8,52,2
2015-09-13,Sunderland,Tottenham,0,1,A,2,4,0,0,15,15,25,56,0,20,17,19,63,1,3,8,18,50,1,24,18,8,100,0
2015-09-14,West Ham,Newcastle,2,0,H,3,4,0,0,14,14,20,53,3,6,10,26,49,6,12,9,15,39,0,15,15,9,64,1
2015-09-19,Aston Villa,West Brom,0,1,A,3,6,0,0,17,22,27,61,1,19,15,21,54,2,13,15,15,52,2,13,15,15,50,1
2015-09-19,Bournemouth,Sunderland,2,0,H,5,2,0,1,4,6,9,15,0,14,14,25,55,0,0,0,0,0,0,0,0,0,0,0
2015-09-19,Chelsea,Arsenal,2,0,H,7,2,0,2,27,22,21,66,3,31,23,9,109,0,18,18,10,61,0,9,10,18,50,1
2015-09-19,Man City,West Ham,1,2,A,8,3,0,0,36,35,11,103,0,17,16,19,51,3,23,19,8,79,0,5,8,19,39,0
2015-09-19,Newcastle,Watford,1,2,A,5,4,0,0,6,10,27,51,6,15,16,22,61,1,4,3,2,7,0,1,2,3,10,0
2015-09-19,Stoke,Leicester,2,2,D,4,5,0,0,14,18,18,62,3,33,33,18,69,0,3,1,1,7,0,3,1,1,4,0
2015-09-19,Swansea,Everton,0,0,D,3,2,0,1,24,20,17,78,0,27,23,14,73,0,3,4,12,33,2,18,12,4,64,0
2015-09-20,Liverpool,Norwich,1,1,D,7,2,0,0,18,13,24,65,3,12,15,28,66,1,22,27,7,76,0,1,7,27,38,0
2015-09-20,Southampton,Man United,2,3,A,8,3,0,0,17,20,18,70,1,27,21,14,63,1,8,11,17,55,0,20,17,11,63,0
2015-09-20,Tottenham,Crystal Palace,1,0,H,6,4,0,0,20,16,18,61,1,27,24,18,65,0,8,5,6,34,0,8,6,5,30,0
2015-09-26,Leicester,Arsenal,2,5,A,7,12,0,0,34,32,16,69,0,28,20,11,102,2,3,6,19,13,2,18,19,6,66,2
2015-09-26,Liverpool,Aston Villa,3,2,H,12,4,0,0,16,13,25,67,3,14,18,28,56,1,17,14,9,70,0,11,9,14,45,0
2015-09-26,Man United,Sunderland,3,0,H,7,4,0,0,27,21,16,63,1,14,14,23,55,1,23,13,4,65,0,5,4,13,41,1
2015-09-26,Newcastle,Chelsea,2,2,D,5,4,0,0,6,11,26,52,5,27,21,19,70,3,14,12,16,67,1,14,16,12,74,0
2015-09-26,Southampton,Swansea,3,1,H,7,4,0,0,16,21,20,73,1,25,20,16,78,0,11,5,2,28,1,5,2,5,23,1
2015-09-26,Stoke,Bournemouth,2,1,H,5,6,0,0,15,20,19,64,3,7,8,9,20,0,0,0,0,0,0,0,0,0,0,0
2015-09-26,Tottenham,Man City,4,1,H,8,8,0,0,23,17,15,66,1,36,36,12,106,0,4,9,28,71,2,25,28,9,81,0
2015-09-26,West Ham,Norwich,2,2,D,7,7,0,0,20,18,17,53,3,12,15,28,63,1,7,5,4,23,0,4,4,5,29,0
2015-09-27,Watford,Crystal Palace,0,1,A,2,3,0,0,17,16,21,55,1,24,21,18,65,0,0,0,0,0,0,0,0,0,0,0
2015-09-28,West Brom,Everton,2,3,A,4,4,0,0,19,15,21,55,2,25,20,14,66,1,12,9,9,40,1,15,9,9,60,2
2015-10-03,Aston Villa,Stoke,0,1,A,2,5,0,0,14,20,30,57,1,18,21,18,65,3,10,10,13,39,1,16,13,10,37,1
2015-10-03,Bournemouth,Watford,1,1,D,6,2,0,0,7,9,11,26,0,17,15,19,55,1,0,0,0,0,0,0,0,0,0,0
2015-10-03,Chelsea,Southampton,1,3,A,3,5,0,0,25,21,20,64,3,16,22,21,77,1,21,21,9,60,0,6,9,21,31,1
2015-10-03,Crystal Palace,West Brom,2,0,H,8,2,0,0,24,20,17,65,0,19,17,21,59,1,8,10,9,28,1,8,9,10,31,0
2015-10-03,Man City,Newcastle,6,1,H,11,4,0,0,33,34,16,98,0,7,12,26,53,5,30,30,4,84,0,0,4,30,46,1
2015-10-03,Norwich,Leicester,1,2,A,2,5,0,0,13,15,26,67,1,31,32,20,69,0,0,0,0,0,0,0,0,0,0,0
2015-10-03,Sunderland,West Ham,2,2,D,3,6,1,0,14,14,25,56,1,18,19,19,56,3,13,12,8,74,1,13,8,12,64,1
2015-10-04,Arsenal,Man United,3,0,H,5,5,0,0,28,23,12,111,2,27,22,15,66,1,6,8,18,62,2,21,18,8,59,0
2015-10-04,Everton,Liverpool,1,1,D,4,4,0,0,25,21,15,67,1,19,15,25,78,2,9,10,17,52,1,15,17,10,83,0
2015-10-04,Swansea,Tottenham,2,2,D,2,11,0,0,22,20,19,76,0,23,17,13,70,1,1,7,16,34,0,22,16,7,61,0
2015-10-17,Chelsea,Aston Villa,2,0,H,3,1,0,0,22,21,23,66,3,14,19,28,57,1,20,25,12,74,3,8,12,25,49,1
2015-10-17,Crystal Palace,West Ham,1,3,A,1,4,1,0,24,20,16,70,0,19,20,19,55,3,9,6,4,17,1,3,4,6,19,0
2015-10-17,Everton,Man United,0,3,A,3,7,0,0,23,21,16,70,1,24,19,17,64,1,14,15,13,75,0,14,13,15,66,0
2015-10-17,Man City,Bournemouth,5,1,H,11,1,0,0,36,39,15,105,0,8,10,12,32,0,0,0,0,0,0,0,0,0,0,0
2015-10-17,Southampton,Leicester,2,2,D,6,7,0,0,19,25,21,80,1,31,31,19,70,0,12,11,7,53,0,9,7,11,35,0
2015-10-17,Tottenham,Liverpool,0,0,D,4,3,0,0,23,19,15,79,1,20,15,22,80,1,13,14,20,65,1,16,20,14,65,2
