Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast15,HomeTeamGoalScoredLast15,HomeTeamGoalConcededLast15,HomeTeamShotTargetLast15,HomeTeamRedLast15,HomeTeamRatingLast15,AwayTeamPointLast15,AwayTeamGoalScoredLast15,AwayTeamGoalConcededLast15,AwayTeamShotTargetLast15,AwayTeamRedLast15,AwayTeamRatingLast15,HomeTeamPointH2HLast5,HomeTeamGoalScoredH2HLast5,HomeTeamGoalConcededH2HLast5,HomeTeamShotTargetH2HLast5,HomeTeamRedH2HLast5,HomeTeamWin%H2HLast5,AwayTeamPointH2HLast5,AwayTeamGoalScoredH2HLast5,AwayTeamGoalConcededH2HLast5,AwayTeamShotTargetH2HLast5,AwayTeamRedH2HLast5,AwayTeamWin%H2HLast5
2015-08-08,Bournemouth,Aston Villa,0,1,A,2,3,0,0,0,0,0,0,0,0.0,16,20,27,63,2,11.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-08-08,Chelsea,Swansea,2,2,D,3,10,1,0,34,21,12,71,2,22.1,23,19,19,69,0,15.400000000000002,15,13,2,44,0,100.0,0,2,13,15,1,0.0
2015-08-08,Everton,Watford,2,2,D,5,5,0,0,21,17,16,66,1,14.900000000000002,13,15,27,63,0,9.600000000000001,6,5,1,7,0,100.0,0,1,5,11,0,0.0
2015-08-08,Leicester,Sunderland,4,2,H,8,5,0,0,24,25,18,63,0,18.7,15,10,20,55,1,11.100000000000001,8,4,2,23,0,40.0,5,2,4,24,1,20.0
2015-08-08,Man United,Tottenham,1,0,H,1,4,0,0,27,23,15,76,2,17.000000000000004,24,23,23,68,1,16.0,6,7,5,21,0,20.0,6,5,7,31,0,20.0
2015-08-08,Norwich,Crystal Palace,1,3,A,6,7,0,0,9,10,27,63,0,5.600000000000001,25,22,17,56,1,16.6,6,6,5,26,1,25.0,3,5,6,25,0,0.0
2015-08-09,Arsenal,West Ham,0,2,A,6,4,0,0,33,27,11,97,0,21.3,11,9,20,54,1,7.1000000000000005,15,16,4,49,0,100.0,0,4,16,17,0,0.0
2015-08-09,Newcastle,Southampton,2,2,D,4,5,0,0,9,11,28,53,4,6.1000000000000005,18,17,16,66,1,11.100000000000001,4,6,13,19,0,20.0,10,13,6,31,0,60.0
2015-08-09,Stoke,Liverpool,0,1,A,1,3,0,0,22,22,17,63,1,15.100000000000001,24,19,21,77,2,14.000000000000004,6,12,9,27,0,40.0,9,9,12,33,0,60.0
2015-08-10,West Brom,Man City,0,3,A,2,7,0,0,22,18,19,54,2,15.000000000000004,31,37,15,99,0,22.2,0,4,13,21,1,0.0,15,13,4,41,0,100.0
2015-08-14,Aston Villa,Man United,0,1,A,1,2,0,0,19,20,25,65,2,13.9,29,23,14,71,1,18.400000000000006,1,3,14,18,1,0.0,13,14,3,32,0,80.0
2015-08-15,Southampton,Everton,0,3,A,4,4,0,0,16,18,18,66,1,10.700000000000001,21,19,18,70,1,14.400000000000002,7,6,3,22,0,40.0,7,3,6,18,0,40.0
2015-08-15,Sunderland,Norwich,1,3,A,2,6,0,0,14,11,23,59,1,10.000000000000002,9,10,28,63,0,4.7,5,5,5,26,2,20.0,8,5,5,25,1,40.0
2015-08-15,Swansea,Newcastle,2,0,H,6,2,0,1,23,20,20,72,0,15.200000000000003,9,12,29,54,4,6.4,13,11,5,25,0,80.0,1,5,11,22,0,0.0
2015-08-15,Tottenham,Stoke,2,2,D,7,7,0,0,21,21,23,64,1,14.100000000000001,21,21,17,61,1,14.100000000000001,9,7,6,33,2,60.0,6,6,7,20,2,40.0
2015-08-15,Watford,West Brom,0,0,D,5,0,0,0,14,17,25,67,0,9.700000000000001,21,16,20,51,2,12.900000000000002,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-08-15,West Ham,Leicester,1,2,A,3,6,1,0,13,10,19,52,1,9.400000000000002,27,29,19,66,0,20.700000000000003,7,6,5,23,0,40.0,7,5,6,24,1,40.0
2015-08-16,Crystal Palace,Arsenal,1,2,A,4,7,0,0,25,24,18,61,1,17.400000000000002,33,26,11,100,0,19.900000000000002,0,3,13,14,1,0.0,15,13,3,32,1,100.0
2015-08-16,Man City,Chelsea,3,0,H,8,3,0,0,33,39,14,101,0,23.700000000000003,32,21,13,69,3,20.6,5,5,5,29,1,20.0,8,5,5,15,0,40.0
2015-08-17,Liverpool,Bournemouth,1,0,H,2,2,0,0,26,20,21,74,2,15.400000000000004,0,0,1,2,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-08-22,Crystal Palace,Aston Villa,2,1,H,6,2,0,0,24,24,19,62,1,16.200000000000003,19,20,24,62,2,13.200000000000001,10,4,1,25,0,60.0,4,1,4,20,0,20.0
2015-08-22,Leicester,Tottenham,1,1,D,2,6,0,0,30,30,18,68,0,22.3,22,21,22,66,1,14.000000000000004,4,11,13,39,1,20.0,10,13,11,26,0,60.0
