Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,HomeTeamRatingLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,AwayTeamRatingLast20,HomeTeamPointH2HLast5,HomeTeamGoalScoredH2HLast5,HomeTeamGoalConcededH2HLast5,HomeTeamShotTargetH2HLast5,HomeTeamRedH2HLast5,HomeTeamWin%H2HLast5,AwayTeamPointH2HLast5,AwayTeamGoalScoredH2HLast5,AwayTeamGoalConcededH2HLast5,AwayTeamShotTargetH2HLast5,AwayTeamRedH2HLast5,AwayTeamWin%H2HLast5
2015-08-08,Bournemouth,Aston Villa,0,1,A,2,3,0,0,0,0,0,0,0,0.0,18,20,35,76,4,12.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-08-08,Chelsea,Swansea,2,2,D,3,10,1,0,42,33,19,97,2,23.700000000000006,28,23,30,83,1,16.600000000000005,15,13,2,44,0,100.0,0,2,13,15,1,0.0
2015-08-08,Everton,Watford,2,2,D,5,5,0,0,26,21,22,81,2,16.200000000000003,17,18,35,88,1,10.600000000000001,6,5,1,7,0,100.0,0,1,5,11,0,0.0
2015-08-08,Leicester,Sunderland,4,2,H,8,5,0,0,31,30,24,75,2,19.700000000000003,19,15,26,70,2,12.100000000000001,8,4,2,23,0,40.0,5,2,4,24,1,20.0
2015-08-08,Man United,Tottenham,1,0,H,1,4,0,0,35,29,18,95,2,18.70000000000001,34,34,29,97,1,17.900000000000006,6,7,5,21,0,20.0,6,5,7,31,0,20.0
2015-08-08,Norwich,Crystal Palace,1,3,A,6,7,0,0,14,12,31,81,2,6.600000000000002,33,27,21,73,1,18.000000000000007,6,6,5,26,1,25.0,3,5,6,25,0,0.0
2015-08-09,Arsenal,West Ham,0,2,A,6,4,0,0,45,39,14,127,0,23.700000000000006,16,15,26,74,1,8.000000000000002,15,16,4,49,0,100.0,0,4,16,17,0,0.0
2015-08-09,Newcastle,Southampton,2,2,D,4,5,0,0,16,21,37,76,4,7.400000000000002,28,23,19,83,3,12.700000000000001,4,6,13,19,0,20.0,10,13,6,31,0,60.0
2015-08-09,Stoke,Liverpool,0,1,A,1,3,0,0,32,29,22,76,1,17.000000000000007,37,30,24,110,2,16.500000000000007,6,12,9,27,0,40.0,9,9,12,33,0,60.0
2015-08-10,West Brom,Man City,0,3,A,2,7,0,0,27,20,25,68,2,15.900000000000002,37,44,23,128,0,23.1,0,4,13,21,1,0.0,15,13,4,41,0,100.0
2015-08-14,Aston Villa,Man United,0,1,A,1,2,0,0,20,21,35,76,3,14.0,37,30,18,91,2,20.00000000000001,1,3,14,18,1,0.0,13,14,3,32,0,80.0
2015-08-15,Southampton,Everton,0,3,A,4,4,0,0,28,24,20,87,2,12.800000000000002,27,21,21,84,2,15.600000000000001,7,6,3,22,0,40.0,7,3,6,18,0,40.0
2015-08-15,Sunderland,Norwich,1,3,A,2,6,0,0,18,17,30,72,2,10.900000000000002,14,13,33,83,2,5.600000000000001,5,5,5,26,2,20.0,8,5,5,25,1,40.0
2015-08-15,Swansea,Newcastle,2,0,H,6,2,0,1,29,24,28,89,1,16.300000000000008,14,20,37,74,4,7.400000000000001,13,11,5,25,0,80.0,1,5,11,22,0,0.0
2015-08-15,Tottenham,Stoke,2,2,D,7,7,0,0,33,34,30,97,1,16.500000000000004,29,27,23,74,1,15.700000000000001,9,7,6,33,2,60.0,6,6,7,20,2,40.0
2015-08-15,Watford,West Brom,0,0,D,5,0,0,0,18,19,35,90,1,10.4,27,20,26,66,2,13.800000000000002,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-08-15,West Ham,Leicester,1,2,A,3,6,1,0,19,16,24,74,1,10.500000000000002,31,33,26,81,1,21.100000000000005,7,6,5,23,0,40.0,7,5,6,24,1,40.0
2015-08-16,Crystal Palace,Arsenal,1,2,A,4,7,0,0,35,30,22,77,1,19.300000000000008,42,37,15,126,0,21.400000000000006,0,3,13,14,1,0.0,15,13,3,32,1,100.0
2015-08-16,Man City,Chelsea,3,0,H,8,3,0,0,39,45,21,129,0,24.600000000000005,42,34,20,99,3,22.600000000000005,5,5,5,29,1,20.0,8,5,5,15,0,40.0
2015-08-17,Liverpool,Bournemouth,1,0,H,2,2,0,0,37,27,23,102,2,17.300000000000008,0,0,1,2,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-08-22,Crystal Palace,Aston Villa,2,1,H,6,2,0,0,34,31,24,81,1,17.700000000000006,19,21,36,74,3,13.200000000000001,10,4,1,25,0,60.0,4,1,4,20,0,20.0
2015-08-22,Leicester,Tottenham,1,1,D,2,6,0,0,33,33,25,84,1,22.6,31,31,29,96,1,15.500000000000004,4,11,13,39,1,20.0,10,13,11,26,0,60.0
2015-08-22,Man United,Newcastle,0,0,D,8,0,0,0,39,30,17,91,2,21.200000000000006,13,17,36,72,5,6.800000000000001,12,12,5,27,0,80.0,3,5,12,24,0,20.0
2015-08-22,Norwich,Stoke,1,1,D,7,1,0,0,16,15,33,84,1,8.200000000000001,29,28,24,79,1,14.800000000000002,7,3,3,21,0,40.0,7,3,3,18,1,40.0
2015-08-22,Sunderland,Swansea,1,1,D,2,9,0,0,18,16,30,70,2,10.200000000000001,31,25,27,89,0,17.800000000000004,3,2,8,11,0,0.0,9,8,2,26,1,40.0
2015-08-22,West Ham,Bournemouth,3,4,A,4,7,1,0,18,16,25,74,2,9.400000000000002,0,0,2,4,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-08-23,Everton,Man City,0,2,A,1,9,0,0,30,24,19,85,1,17.600000000000005,39,45,19,125,0,25.400000000000006,4,6,8,19,1,20.0,10,8,6,28,0,60.0
2015-08-23,Watford,Southampton,0,0,D,0,5,0,0,18,19,35,90,0,10.9,25,22,23,85,2,10.900000000000004,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-08-23,West Brom,Chelsea,2,3,A,6,5,0,1,27,19,25,63,2,14.200000000000003,42,31,18,95,3,20.500000000000004,5,6,6,14,1,20.0,8,6,6,41,1,40.0
2015-08-24,Arsenal,Liverpool,0,0,D,5,8,0,0,45,39,14,127,0,22.200000000000006,39,26,21,98,2,18.800000000000008,8,11,10,32,0,40.0,5,10,11,33,2,20.0
2015-08-29,Aston Villa,Sunderland,2,2,D,6,3,0,0,19,22,37,75,2,12.000000000000004,19,17,30,71,1,10.100000000000001,11,11,1,35,1,60.0,2,1,11,11,1,0.0
2015-08-29,Bournemouth,Leicester,1,1,D,2,2,0,0,3,4,5,11,0,3.0,31,33,26,83,0,22.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-08-29,Chelsea,Crystal Palace,1,2,A,9,6,0,0,42,32,20,95,4,21.400000000000006,34,31,24,80,1,18.800000000000004,12,9,4,34,1,80.0,3,4,9,17,1,20.0
2015-08-29,Liverpool,West Ham,0,3,A,1,5,1,1,37,25,21,102,2,17.600000000000005,17,18,28,73,3,8.600000000000001,10,9,5,41,0,60.0,4,5,9,15,1,20.0
2015-08-29,Man City,Watford,2,0,H,5,0,0,0,41,46,18,132,0,26.700000000000006,19,19,32,86,0,10.600000000000003,2,1,1,13,0,0.0,2,1,1,5,0,0.0
2015-08-29,Newcastle,Arsenal,0,1,A,0,9,1,0,14,17,34,67,5,7.000000000000001,43,36,14,126,0,21.200000000000006,0,2,11,16,0,0.0,15,11,2,23,0,100.0
2015-08-29,Stoke,West Brom,0,1,A,5,5,2,0,30,29,22,78,1,14.800000000000002,24,20,28,66,2,12.100000000000001,8,4,2,17,0,40.0,5,2,4,23,0,20.0
2015-08-29,Tottenham,Everton,0,0,D,6,3,0,0,32,31,28,97,1,15.200000000000005,29,23,20,82,1,15.900000000000002,11,6,3,27,0,60.0,2,3,6,15,0,0.0
2015-08-30,Southampton,Norwich,3,0,H,8,1,0,1,23,21,23,89,2,11.000000000000002,17,16,32,88,1,8.200000000000003,8,9,7,26,0,40.0,5,7,9,21,0,20.0
2015-08-30,Swansea,Man United,2,1,H,4,4,0,0,31,25,27,95,0,17.400000000000002,40,30,16,99,2,20.300000000000004,6,6,10,20,0,40.0,9,10,6,29,0,60.0
2015-09-12,Arsenal,Stoke,2,0,H,12,4,0,0,43,35,14,132,0,21.70000000000001,27,28,23,80,3,12.900000000000002,9,9,5,31,1,60.0,6,5,9,15,0,40.0
2015-09-12,Crystal Palace,Man City,0,1,A,2,7,0,0,34,30,23,82,1,20.3,44,48,16,133,0,27.50000000000001,3,3,10,12,0,20.0,12,10,3,26,0,80.0
2015-09-12,Everton,Chelsea,3,1,H,9,2,0,0,29,23,20,81,1,15.600000000000003,39,28,22,93,4,19.300000000000008,3,5,10,27,1,20.0,12,10,5,38,0,80.0
2015-09-12,Man United,Liverpool,3,1,H,3,4,0,0,37,29,18,96,2,18.300000000000008,34,23,24,98,3,15.900000000000002,9,7,6,25,1,60.0,6,6,7,27,1,40.0
2015-09-12,Norwich,Bournemouth,3,1,H,4,2,0,0,14,15,35,85,2,7.600000000000001,4,5,6,13,0,4.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-09-12,Watford,Swansea,1,0,H,6,3,1,0,19,19,32,80,0,10.100000000000001,34,27,23,99,0,18.700000000000006,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-09-12,West Brom,Southampton,0,0,D,1,4,0,0,26,21,28,71,2,14.500000000000002,23,22,22,94,2,12.400000000000002,7,4,2,17,1,40.0,7,2,4,15,2,40.0
2015-09-13,Leicester,Aston Villa,3,2,H,6,4,0,0,32,34,26,82,0,21.3,20,24,37,77,2,12.300000000000002,4,5,12,27,3,20.0,10,12,5,37,1,60.0
2015-09-13,Sunderland,Tottenham,0,1,A,2,4,0,0,20,18,30,70,1,10.4,30,29,27,95,1,14.400000000000004,1,5,12,17,1,0.0,13,12,5,49,0,80.0
2015-09-14,West Ham,Newcastle,2,0,H,3,4,0,0,17,18,28,72,4,10.6,14,16,33,64,6,6.500000000000003,5,2,5,10,0,20.0,8,5,2,20,1,40.0
2015-09-19,Aston Villa,West Brom,0,1,A,3,6,0,0,20,26,35,79,2,11.100000000000001,27,21,25,68,2,13.7,8,10,9,30,1,40.0,5,9,10,23,0,20.0
2015-09-19,Bournemouth,Sunderland,2,0,H,5,2,0,1,4,6,9,15,0,3.7,17,16,31,69,1,9.200000000000001,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-09-19,Chelsea,Arsenal,2,0,H,7,2,0,2,38,28,24,93,4,17.200000000000006,43,32,14,136,0,22.90000000000001,11,10,1,29,0,60.0,2,1,10,16,1,0.0
2015-09-19,Man City,West Ham,1,2,A,8,3,0,0,46,48,15,135,0,28.60000000000001,20,20,26,73,4,12.9,12,10,4,34,0,80.0,3,4,10,15,0,20.0
2015-09-19,Newcastle,Watford,1,2,A,5,4,0,0,11,13,35,63,6,5.600000000000002,19,18,31,79,1,11.7,4,3,2,7,0,50.0,1,2,3,10,0,0.0
2015-09-19,Stoke,Leicester,2,2,D,4,5,0,0,24,25,24,81,3,11.799999999999999,35,36,25,87,0,22.9,3,1,1,7,0,50.0,3,1,1,4,0,50.0
2015-09-19,Swansea,Everton,0,0,D,3,2,0,1,31,26,24,101,0,17.300000000000008,29,25,21,88,1,17.000000000000004,3,4,6,15,1,0.0,9,6,4,31,0,40.0
