Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast5,HomeTeamGoalScoredLast5,HomeTeamGoalConcededLast5,HomeTeamShotTargetLast5,HomeTeamRedLast5,AwayTeamPointLast5,AwayTeamGoalScoredLast5,AwayTeamGoalConcededLast5,AwayTeamShotTargetLast5,AwayTeamRedLast5,HomeTeamPointH2HLast5,HomeTeamGoalScoredH2HLast5,HomeTeamGoalConcededH2HLast5,HomeTeamShotTargetH2HLast5,HomeTeamRedH2HLast5,AwayTeamPointH2HLast5,AwayTeamGoalScoredH2HLast5,AwayTeamGoalConcededH2HLast5,AwayTeamShotTargetH2HLast5,AwayTeamRedH2HLast5
2015-08-08,Bournemouth,Aston Villa,0,1,A,2,3,0,0,0,0,0,0,0,6,7,12,22,0,0,0,0,0,0,0,0,0,0,0
2015-08-08,Chelsea,Swansea,2,2,D,3,10,1,0,10,8,6,25,1,9,8,7,24,0,15,13,2,44,0,0,2,13,15,1
2015-08-08,Everton,Watford,2,2,D,5,5,0,0,6,7,7,22,0,5,5,6,14,0,6,5,1,7,0,0,1,5,11,0
2015-08-08,Leicester,Sunderland,4,2,H,8,5,0,0,10,11,4,19,0,8,5,4,24,0,8,4,2,23,0,5,2,4,24,1
2015-08-08,Man United,Tottenham,1,0,H,1,4,0,0,5,3,6,22,1,7,5,6,16,1,6,7,5,21,0,6,5,7,31,0
2015-08-08,Norwich,Crystal Palace,1,3,A,6,7,0,0,1,2,10,18,0,6,5,6,21,0,6,6,5,26,1,3,5,6,25,0
2015-08-09,Arsenal,West Ham,0,2,A,6,4,0,0,8,8,4,42,0,4,2,5,14,0,15,16,4,49,0,0,4,16,17,0
2015-08-09,Newcastle,Southampton,2,2,D,4,5,0,0,4,6,9,24,2,4,9,9,24,1,4,6,13,19,0,10,13,6,31,0
2015-08-09,Stoke,Liverpool,0,1,A,1,3,0,0,8,10,4,32,1,4,5,12,28,0,6,12,9,27,0,9,9,12,33,0
2015-08-10,West Brom,Man City,0,3,A,2,7,0,0,8,6,5,20,0,15,16,4,36,0,0,4,13,21,1,15,13,4,41,0
2015-08-14,Aston Villa,Man United,0,1,A,1,2,0,0,9,6,9,21,0,8,4,3,19,1,1,3,14,18,1,13,14,3,32,0
2015-08-15,Southampton,Everton,0,3,A,4,4,0,0,4,9,9,25,1,4,6,9,20,0,7,6,3,22,0,7,3,6,18,0
2015-08-15,Sunderland,Norwich,1,3,A,2,6,0,0,5,5,7,23,0,1,3,12,21,0,5,5,5,26,2,8,5,5,25,1
2015-08-15,Swansea,Newcastle,2,0,H,6,2,0,1,7,7,7,28,0,5,6,8,24,2,13,11,5,25,0,1,5,11,22,0
2015-08-15,Tottenham,Stoke,2,2,D,7,7,0,0,6,3,5,18,1,7,9,4,25,1,9,7,6,33,2,6,6,7,20,2
2015-08-15,Watford,West Brom,0,0,D,5,0,0,0,6,6,5,15,0,7,6,8,18,0,0,0,0,0,0,0,0,0,0,0
2015-08-15,West Ham,Leicester,1,2,A,3,6,1,0,6,4,5,16,0,13,14,3,25,0,7,6,5,23,0,7,5,6,24,1
2015-08-16,Crystal Palace,Arsenal,1,2,A,4,7,0,0,9,8,5,25,0,5,5,5,39,0,0,3,13,14,1,15,13,3,32,1
2015-08-16,Man City,Chelsea,3,0,H,8,3,0,0,15,16,2,39,0,8,7,7,24,2,5,5,5,29,1,8,5,5,15,0
2015-08-17,Liverpool,Bournemouth,1,0,H,2,2,0,0,7,6,11,22,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2015-08-22,Crystal Palace,Aston Villa,2,1,H,6,2,0,0,9,9,6,28,0,6,3,8,18,0,10,4,1,25,0,4,1,4,20,0
2015-08-22,Leicester,Tottenham,1,1,D,2,6,0,0,13,13,4,24,0,7,5,6,20,1,4,11,13,39,1,10,13,11,26,0
2015-08-22,Man United,Newcastle,0,0,D,8,0,0,0,11,5,2,12,1,5,6,7,23,1,12,12,5,27,0,3,5,12,24,0
2015-08-22,Norwich,Stoke,1,1,D,7,1,0,0,4,4,10,22,0,8,11,4,29,0,7,3,3,21,0,7,3,3,18,1
2015-08-22,Sunderland,Swansea,1,1,D,2,9,0,0,2,4,10,22,0,7,7,7,30,0,3,2,8,11,0,9,8,2,26,1
2015-08-22,West Ham,Bournemouth,3,4,A,4,7,1,0,3,4,7,12,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
2015-08-23,Everton,Man City,0,2,A,1,9,0,0,7,7,6,19,0,15,18,2,43,0,4,6,8,19,1,10,8,6,28,0
2015-08-23,Watford,Southampton,0,0,D,0,5,0,0,6,5,4,19,0,4,8,10,27,0,0,0,0,0,0,0,0,0,0,0
2015-08-23,West Brom,Chelsea,2,3,A,6,5,0,1,5,5,8,15,0,5,6,10,20,2,5,6,6,14,1,8,6,6,41,1
2015-08-24,Arsenal,Liverpool,0,0,D,5,8,0,0,8,7,5,37,0,7,5,10,16,0,8,11,10,32,0,5,10,11,33,2
2015-08-29,Aston Villa,Sunderland,2,2,D,6,3,0,0,3,3,10,15,0,2,5,11,21,0,11,11,1,35,1,2,1,11,11,1
2015-08-29,Bournemouth,Leicester,1,1,D,2,2,0,0,3,4,5,11,0,11,12,5,23,0,0,0,0,0,0,0,0,0,0,0
2015-08-29,Chelsea,Crystal Palace,1,2,A,9,6,0,0,7,8,11,22,3,12,10,5,30,0,12,9,4,34,1,3,4,9,17,1
2015-08-29,Liverpool,West Ham,0,3,A,1,5,1,1,7,4,9,20,0,3,7,10,15,2,10,9,5,41,0,4,5,9,15,1
2015-08-29,Man City,Watford,2,0,H,5,0,0,0,15,14,2,41,0,7,5,3,16,0,2,1,1,13,0,2,1,1,5,0
2015-08-29,Newcastle,Arsenal,0,1,A,0,9,1,0,5,5,6,18,1,8,6,4,39,0,0,2,11,16,0,15,11,2,23,0
2015-08-29,Stoke,West Brom,0,1,A,5,5,2,0,6,9,5,21,0,4,6,10,18,0,8,4,2,17,0,5,2,4,23,0
2015-08-29,Tottenham,Everton,0,0,D,6,3,0,0,8,6,4,23,0,7,7,6,16,0,11,6,3,27,0,2,3,6,15,0
2015-08-30,Southampton,Norwich,3,0,H,8,1,0,1,5,8,8,29,0,5,5,7,27,0,8,9,7,26,0,5,7,9,21,0
2015-08-30,Swansea,Man United,2,1,H,4,4,0,0,5,7,8,36,0,9,3,1,16,1,6,6,10,20,0,9,10,6,29,0
2015-09-12,Arsenal,Stoke,2,0,H,12,4,0,0,10,7,4,40,0,5,9,6,23,2,9,9,5,31,1,6,5,9,15,0
2015-09-12,Crystal Palace,Man City,0,1,A,2,7,0,0,12,9,5,30,0,15,12,0,35,0,3,3,10,12,0,12,10,3,26,0
2015-09-12,Everton,Chelsea,3,1,H,9,2,0,0,5,5,5,14,0,7,9,10,28,2,3,5,10,27,1,12,10,5,38,0
2015-09-12,Man United,Liverpool,3,1,H,3,4,0,0,8,3,2,16,1,7,3,9,18,1,9,7,6,25,1,6,6,7,27,1
2015-09-12,Norwich,Bournemouth,3,1,H,4,2,0,0,4,5,10,25,1,4,5,6,13,0,0,0,0,0,0,0,0,0,0,0
2015-09-12,Watford,Swansea,1,0,H,6,3,1,0,4,3,5,12,0,8,7,5,31,0,0,0,0,0,0,0,0,0,0,0
2015-09-12,West Brom,Southampton,0,0,D,1,4,0,0,4,4,10,18,0,5,5,7,26,0,7,4,2,17,1,7,2,4,15,2
