Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,HomeTeamRatingLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,AwayTeamRatingLast20,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,HomeTeamWin%H2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10,AwayTeamWin%H2HLast10
2015-08-24,Arsenal,Liverpool,0,0,D,5,8,0,0,45,39,14,127,0,22.200000000000006,39,26,21,98,2,18.800000000000008,16,17,15,65,2,40.0,10,15,17,62,3,20.0
2015-08-29,Aston Villa,Sunderland,2,2,D,6,3,0,0,19,22,37,75,2,12.000000000000004,19,17,30,71,1,10.100000000000001,16,14,5,62,2,40.0,10,5,14,36,3,20.0
2015-08-29,Bournemouth,Leicester,1,1,D,2,2,0,0,3,4,5,11,0,3.0,31,33,26,83,0,22.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-08-29,Chelsea,Crystal Palace,1,2,A,9,6,0,0,42,32,20,95,4,21.400000000000006,34,31,24,80,1,18.800000000000004,15,11,4,44,1,83.33333333333334,3,4,11,21,1,16.666666666666664
2015-08-29,Liverpool,West Ham,0,3,A,1,5,1,1,37,25,21,102,2,17.600000000000005,17,18,28,73,3,8.600000000000001,22,22,12,91,0,70.0,7,12,22,40,1,20.0
2015-08-29,Man City,Watford,2,0,H,5,0,0,0,41,46,18,132,0,26.700000000000006,19,19,32,86,0,10.600000000000003,2,1,1,13,0,0.0,2,1,1,5,0,0.0
2015-08-29,Newcastle,Arsenal,0,1,A,0,9,1,0,14,17,34,67,5,7.000000000000001,43,36,14,126,0,21.200000000000006,5,11,24,38,0,10.0,23,24,11,70,3,70.0
2015-08-29,Stoke,West Brom,0,1,A,5,5,2,0,30,29,22,78,1,14.800000000000002,24,20,28,66,2,12.100000000000001,18,11,5,32,0,50.0,9,5,11,66,0,20.0
2015-08-29,Tottenham,Everton,0,0,D,6,3,0,0,32,31,28,97,1,15.200000000000005,29,23,20,82,1,15.900000000000002,15,11,9,62,0,40.0,12,9,11,50,0,30.0
2015-08-30,Southampton,Norwich,3,0,H,8,1,0,1,23,21,23,89,2,11.000000000000002,17,16,32,88,1,8.200000000000003,8,10,9,33,0,33.33333333333333,8,9,10,29,0,33.33333333333333
2015-08-30,Swansea,Man United,2,1,H,4,4,0,0,31,25,27,95,0,17.400000000000002,40,30,16,99,2,20.300000000000004,7,7,14,45,0,25.0,16,14,7,70,0,62.5
2015-09-12,Arsenal,Stoke,2,0,H,12,4,0,0,43,35,14,132,0,21.70000000000001,27,28,23,80,3,12.900000000000002,17,15,10,61,1,50.0,11,10,15,36,0,30.0
2015-09-12,Crystal Palace,Man City,0,1,A,2,7,0,0,34,30,23,82,1,20.3,44,48,16,133,0,27.50000000000001,3,4,12,13,0,16.666666666666664,15,12,4,36,0,83.33333333333334
2015-09-12,Everton,Chelsea,3,1,H,9,2,0,0,29,23,20,81,1,15.600000000000003,39,28,22,93,4,19.300000000000008,10,11,16,55,2,30.0,19,16,11,74,0,60.0
2015-09-12,Man United,Liverpool,3,1,H,3,4,0,0,37,29,18,96,2,18.300000000000008,34,23,24,98,3,15.900000000000002,19,16,14,52,1,60.0,10,14,16,60,2,30.0
2015-09-12,Norwich,Bournemouth,3,1,H,4,2,0,0,14,15,35,85,2,7.600000000000001,4,5,6,13,0,4.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-09-12,Watford,Swansea,1,0,H,6,3,1,0,19,19,32,80,0,10.100000000000001,34,27,23,99,0,18.700000000000006,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-09-12,West Brom,Southampton,0,0,D,1,4,0,0,26,21,28,71,2,14.500000000000002,23,22,22,94,2,12.400000000000002,15,9,5,42,1,40.0,12,5,9,49,3,30.0
2015-09-13,Leicester,Aston Villa,3,2,H,6,4,0,0,32,34,26,82,0,21.3,20,24,37,77,2,12.300000000000002,8,8,14,37,3,25.0,14,14,8,52,2,50.0
2015-09-13,Sunderland,Tottenham,0,1,A,2,4,0,0,20,18,30,70,1,10.4,30,29,27,95,1,14.400000000000004,3,8,18,50,1,0.0,24,18,8,100,0,70.0
