Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast10,HomeTeamGoalScoredLast10,HomeTeamGoalConcededLast10,HomeTeamShotTargetLast10,HomeTeamRedLast10,HomeTeamRatingLast10,AwayTeamPointLast10,AwayTeamGoalScoredLast10,AwayTeamGoalConcededLast10,AwayTeamShotTargetLast10,AwayTeamRedLast10,AwayTeamRatingLast10,HomeTeamPointH2HLast5,HomeTeamGoalScoredH2HLast5,HomeTeamGoalConcededH2HLast5,HomeTeamShotTargetH2HLast5,HomeTeamRedH2HLast5,HomeTeamWin%H2HLast5,AwayTeamPointH2HLast5,AwayTeamGoalScoredH2HLast5,AwayTeamGoalConcededH2HLast5,AwayTeamShotTargetH2HLast5,AwayTeamRedH2HLast5,AwayTeamWin%H2HLast5
2015-08-08,Bournemouth,Aston Villa,0,1,A,2,3,0,0,0,0,0,0,0,0.0,13,16,19,45,1,10.3,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-08-08,Chelsea,Swansea,2,2,D,3,10,1,0,23,15,9,44,1,17.6,16,13,12,46,0,12.4,15,13,2,44,0,100.0,0,2,13,15,1,0.0
2015-08-08,Everton,Watford,2,2,D,5,5,0,0,19,15,9,51,0,14.200000000000001,9,13,18,45,0,7.9,6,5,1,7,0,100.0,0,1,5,11,0,0.0
2015-08-08,Leicester,Sunderland,4,2,H,8,5,0,0,22,22,11,45,0,17.8,12,8,14,41,0,9.9,8,4,2,23,0,40.0,5,2,4,24,1,20.0
2015-08-08,Man United,Tottenham,1,0,H,1,4,0,0,17,15,11,45,1,12.500000000000002,14,12,14,34,1,11.7,6,7,5,21,0,20.0,6,5,7,31,0,20.0
2015-08-08,Norwich,Crystal Palace,1,3,A,6,7,0,0,5,7,19,42,0,3.7,18,16,12,40,0,13.8,6,6,5,26,1,25.0,3,5,6,25,0,0.0
2015-08-09,Arsenal,West Ham,0,2,A,6,4,0,0,21,18,6,70,0,15.900000000000002,8,5,13,32,0,6.0,15,16,4,49,0,100.0,0,4,16,17,0,0.0
2015-08-09,Newcastle,Southampton,2,2,D,4,5,0,0,4,8,20,41,4,3.9,11,15,13,44,1,8.3,4,6,13,19,0,20.0,10,13,6,31,0,60.0
2015-08-09,Stoke,Liverpool,0,1,A,1,3,0,0,12,15,11,44,1,10.6,11,10,18,47,2,8.3,6,12,9,27,0,40.0,9,9,12,33,0,60.0
2015-08-10,West Brom,Man City,0,3,A,2,7,0,0,14,12,15,40,2,11.600000000000001,21,24,11,67,0,18.0,0,4,13,21,1,0.0,15,13,4,41,0,100.0
2015-08-14,Aston Villa,Man United,0,1,A,1,2,0,0,13,13,19,40,1,10.9,17,13,11,43,1,13.300000000000002,1,3,14,18,1,0.0,13,14,3,32,0,80.0
2015-08-15,Southampton,Everton,0,3,A,4,4,0,0,11,16,14,44,1,8.4,17,14,11,47,0,12.500000000000002,7,6,3,22,0,40.0,7,3,6,18,0,40.0
2015-08-15,Sunderland,Norwich,1,3,A,2,6,0,0,12,10,14,44,0,9.100000000000001,4,7,21,43,0,2.7,5,5,5,26,2,20.0,8,5,5,25,1,40.0
2015-08-15,Swansea,Newcastle,2,0,H,6,2,0,1,17,15,13,53,0,12.8,5,10,19,41,3,4.9,13,11,5,25,0,80.0,1,5,11,22,0,0.0
2015-08-15,Tottenham,Stoke,2,2,D,7,7,0,0,14,12,12,37,1,11.0,12,15,11,43,1,10.2,9,7,6,33,2,60.0,6,6,7,20,2,40.0
2015-08-15,Watford,West Brom,0,0,D,5,0,0,0,9,13,18,40,0,7.6,11,11,18,37,2,8.9,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-08-15,West Ham,Leicester,1,2,A,3,6,1,0,11,7,10,35,0,8.700000000000001,25,23,9,48,0,19.800000000000004,7,6,5,23,0,40.0,7,5,6,24,1,40.0
2015-08-16,Crystal Palace,Arsenal,1,2,A,4,7,0,0,18,16,12,43,0,14.4,18,15,8,67,0,13.600000000000001,0,3,13,14,1,0.0,15,13,3,32,1,100.0
2015-08-16,Man City,Chelsea,3,0,H,8,3,0,0,24,27,10,69,0,20.1,21,14,9,44,2,16.1,5,5,5,29,1,20.0,8,5,5,15,0,40.0
2015-08-17,Liverpool,Bournemouth,1,0,H,2,2,0,0,11,10,18,45,2,9.100000000000001,0,0,1,2,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-08-22,Crystal Palace,Aston Villa,2,1,H,6,2,0,0,15,15,13,44,0,12.000000000000002,13,13,19,38,1,10.5,10,4,1,25,0,60.0,4,1,4,20,0,20.0
2015-08-22,Leicester,Tottenham,1,1,D,2,6,0,0,25,23,9,47,0,20.1,12,10,11,40,1,9.8,4,11,13,39,1,20.0,10,13,11,26,0,60.0
2015-08-22,Man United,Newcastle,0,0,D,8,0,0,0,17,12,10,41,1,13.800000000000002,5,9,19,39,4,4.5,12,12,5,27,0,80.0,3,5,12,24,0,20.0
2015-08-22,Norwich,Stoke,1,1,D,7,1,0,0,7,8,18,46,0,5.7,13,16,11,46,1,10.4,7,3,3,21,0,40.0,7,3,3,18,1,40.0
2015-08-22,Sunderland,Swansea,1,1,D,2,9,0,0,12,11,16,43,0,8.700000000000001,17,16,13,53,0,13.3,3,2,8,11,0,0.0,9,8,2,26,1,40.0
2015-08-22,West Ham,Bournemouth,3,4,A,4,7,1,0,8,7,12,34,1,6.700000000000001,0,0,2,4,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
