Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10,Home_Win_Prob,Draw_Prob,Away_Win_Prob
2015-08-23,West Brom,Chelsea,2,3,A,6,5,0,1,27,19,25,63,2,42,31,18,95,3,11,11,18,45,1,17,18,11,95,1,0.27541578632191727,0.23594487700393202,0.48863933667415077
2015-08-24,Arsenal,Liverpool,0,0,D,5,8,0,0,45,39,14,127,0,39,26,21,98,2,16,17,15,65,2,10,15,17,62,3,0.603614735910311,0.2017873966326354,0.19459786745705357
2015-08-29,Aston Villa,Sunderland,2,2,D,6,3,0,0,19,22,37,75,2,19,17,30,71,1,16,14,5,62,2,10,5,14,36,3,0.4169394169232745,0.3119098286332339,0.2711507544434915
2015-08-29,Bournemouth,Leicester,1,1,D,2,2,0,0,3,4,5,11,0,31,33,26,83,0,0,0,0,0,0,0,0,0,0,0,0.2773822593609668,0.2649728368376385,0.4576449038013946
2015-08-29,Chelsea,Crystal Palace,1,2,A,9,6,0,0,42,32,20,95,4,34,31,24,80,1,15,11,4,44,1,3,4,11,21,1,0.5658918442202228,0.2455831659307809,0.18852498984899635
2015-08-29,Liverpool,West Ham,0,3,A,1,5,1,1,37,25,21,102,2,17,18,28,73,3,22,22,12,91,0,7,12,22,40,1,0.5734055083962128,0.2527888970711494,0.17380559453263777
2015-08-29,Man City,Watford,2,0,H,5,0,0,0,41,46,18,132,0,19,19,32,86,0,2,1,1,13,0,2,1,1,5,0,0.7092525515395126,0.18582653152787867,0.10492091693260869
2015-08-29,Newcastle,Arsenal,0,1,A,0,9,1,0,14,17,34,67,5,43,36,14,126,0,5,11,24,38,0,23,24,11,70,3,0.09438735516869992,0.3298739985251657,0.5757386463061344
2015-08-29,Stoke,West Brom,0,1,A,5,5,2,0,30,29,22,78,1,24,20,28,66,2,18,11,5,32,0,9,5,11,66,0,0.5985623088881048,0.21274050660486274,0.18869718450703246
2015-08-29,Tottenham,Everton,0,0,D,6,3,0,0,32,31,28,97,1,29,23,20,82,1,15,11,9,62,0,12,9,11,50,0,0.4393847906630827,0.2647303952311988,0.2958848141057184
2015-08-30,Southampton,Norwich,3,0,H,8,1,0,1,23,21,23,89,2,17,16,32,88,1,8,10,9,33,0,8,9,10,29,0,0.4295715005301202,0.34253282579164435,0.22789567367823546
2015-08-30,Swansea,Man United,2,1,H,4,4,0,0,31,25,27,95,0,40,30,16,99,2,7,7,14,45,0,16,14,7,70,0,0.28763909222256695,0.2302184151479437,0.48214249262948927
2015-09-12,Arsenal,Stoke,2,0,H,12,4,0,0,43,35,14,132,0,27,28,23,80,3,17,15,10,61,1,11,10,15,36,0,0.6375623646168193,0.1911360265346216,0.17130160884855908
2015-09-12,Crystal Palace,Man City,0,1,A,2,7,0,0,34,30,23,82,1,44,48,16,133,0,3,4,12,13,0,15,12,4,36,0,0.16517559405497564,0.2090744137779845,0.6257499921670397
2015-09-12,Everton,Chelsea,3,1,H,9,2,0,0,29,23,20,81,1,39,28,22,93,4,10,11,16,55,2,19,16,11,74,0,0.39633200392842194,0.2251304481263151,0.37853754794526295
2015-09-12,Man United,Liverpool,3,1,H,3,4,0,0,37,29,18,96,2,34,23,24,98,3,19,16,14,52,1,10,14,16,60,2,0.5041274570800393,0.25303167469054094,0.24284086822941983
2015-09-12,Norwich,Bournemouth,3,1,H,4,2,0,0,14,15,35,85,2,4,5,6,13,0,0,0,0,0,0,0,0,0,0,0,0.38948863742786405,0.34575585302552264,0.2647555095466133
2015-09-12,Watford,Swansea,1,0,H,6,3,1,0,19,19,32,80,0,34,27,23,99,0,0,0,0,0,0,0,0,0,0,0,0.26910852287699405,0.26903050809712953,0.4618609690258765
2015-09-12,West Brom,Southampton,0,0,D,1,4,0,0,26,21,28,71,2,23,22,22,94,2,15,9,5,42,1,12,5,9,49,3,0.301552632216796,0.30025240569250267,0.39819496209070115
2015-09-13,Leicester,Aston Villa,3,2,H,6,4,0,0,32,34,26,82,0,20,24,37,77,2,8,8,14,37,3,14,14,8,52,2,0.6078996660649372,0.18686391009959769,0.20523642383546517
2015-09-13,Sunderland,Tottenham,0,1,A,2,4,0,0,20,18,30,70,1,30,29,27,95,1,3,8,18,50,1,24,18,8,100,0,0.24123938803888367,0.28154820608230263,0.47721240587881364
2015-09-14,West Ham,Newcastle,2,0,H,3,4,0,0,17,18,28,72,4,14,16,33,64,6,12,9,15,39,0,15,15,9,64,1,0.5268598640277206,0.26559604719675745,0.20754408877552202
2015-09-19,Aston Villa,West Brom,0,1,A,3,6,0,0,20,26,35,79,2,27,21,25,68,2,13,15,15,52,2,13,15,15,50,1,0.4505359973250527,0.2661482017065662,0.2833158009683811
2015-09-19,Bournemouth,Sunderland,2,0,H,5,2,0,1,4,6,9,15,0,17,16,31,69,1,0,0,0,0,0,0,0,0,0,0,0.393461219023898,0.284814379626008,0.321724401350094
2015-09-19,Chelsea,Arsenal,2,0,H,7,2,0,2,38,28,24,93,4,43,32,14,136,0,18,18,10,61,0,9,10,18,50,1,0.2062489083967419,0.34808675746294176,0.4456643341403163
2015-09-19,Man City,West Ham,1,2,A,8,3,0,0,46,48,15,135,0,20,20,26,73,4,23,19,8,79,0,5,8,19,39,0,0.8015774399559459,0.11982777707197083,0.07859478297208322
2015-09-19,Newcastle,Watford,1,2,A,5,4,0,0,11,13,35,63,6,19,18,31,79,1,4,3,2,7,0,1,2,3,10,0,0.3231798033166741,0.4197350718286953,0.25708512485463053
