Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast10,HomeTeamGoalScoredLast10,HomeTeamGoalConcededLast10,HomeTeamShotTargetLast10,HomeTeamRedLast10,AwayTeamPointLast10,AwayTeamGoalScoredLast10,AwayTeamGoalConcededLast10,AwayTeamShotTargetLast10,AwayTeamRedLast10,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10
2015-08-08,Bournemouth,Aston Villa,0,1,A,2,3,0,0,0,0,0,0,0,13,16,19,45,1,0,0,0,0,0,0,0,0,0,0
2015-08-08,Chelsea,Swansea,2,2,D,3,10,1,0,23,15,9,44,1,16,13,12,46,0,20,19,5,68,2,2,5,19,31,1
2015-08-08,Everton,Watford,2,2,D,5,5,0,0,19,15,9,51,0,9,13,18,45,0,6,5,1,7,0,0,1,5,11,0
2015-08-08,Leicester,Sunderland,4,2,H,8,5,0,0,22,22,11,45,0,12,8,14,41,0,9,4,2,25,0,6,2,4,29,1
2015-08-08,Man United,Tottenham,1,0,H,1,4,0,0,17,15,11,45,1,14,12,14,34,1,16,17,9,69,1,10,9,17,69,0
2015-08-08,Norwich,Crystal Palace,1,3,A,6,7,0,0,5,7,19,42,0,18,16,12,40,0,6,6,5,26,1,3,5,6,25,0
2015-08-09,Arsenal,West Ham,0,2,A,6,4,0,0,21,18,6,70,0,8,5,13,32,0,28,27,7,104,1,1,7,27,42,1
2015-08-09,Newcastle,Southampton,2,2,D,4,5,0,0,4,8,20,41,4,11,15,13,44,1,14,14,20,63,0,14,20,14,69,0
2015-08-09,Stoke,Liverpool,0,1,A,1,3,0,0,12,15,11,44,1,11,10,18,47,2,14,15,11,40,0,14,11,15,69,1
2015-08-10,West Brom,Man City,0,3,A,2,7,0,0,14,12,15,40,2,21,24,11,67,0,1,5,24,49,2,28,24,5,89,2
2015-08-14,Aston Villa,Man United,0,1,A,1,2,0,0,13,13,19,40,1,17,13,11,43,1,2,8,27,43,1,26,27,8,81,0
2015-08-15,Southampton,Everton,0,3,A,4,4,0,0,11,16,14,44,1,17,14,11,47,0,10,12,12,49,0,16,12,12,48,0
2015-08-15,Sunderland,Norwich,1,3,A,2,6,0,0,12,10,14,44,0,4,7,21,43,0,5,6,7,32,2,11,7,6,33,1
2015-08-15,Swansea,Newcastle,2,0,H,6,2,0,1,17,15,13,53,0,5,10,19,41,3,17,13,8,47,0,5,8,13,42,0
2015-08-15,Tottenham,Stoke,2,2,D,7,7,0,0,14,12,12,37,1,12,15,11,43,1,17,14,12,91,3,11,12,14,46,2
2015-08-15,Watford,West Brom,0,0,D,5,0,0,0,9,13,18,40,0,11,11,18,37,2,0,0,0,0,0,0,0,0,0,0
2015-08-15,West Ham,Leicester,1,2,A,3,6,1,0,11,7,10,35,0,25,23,9,48,0,7,6,6,35,1,10,6,6,26,1
2015-08-16,Crystal Palace,Arsenal,1,2,A,4,7,0,0,18,16,12,43,0,18,15,8,67,0,1,4,14,15,1,16,14,4,45,1
2015-08-16,Man City,Chelsea,3,0,H,8,3,0,0,24,27,10,69,0,21,14,9,44,2,12,9,10,58,2,15,10,9,43,0
2015-08-17,Liverpool,Bournemouth,1,0,H,2,2,0,0,11,10,18,45,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2015-08-22,Crystal Palace,Aston Villa,2,1,H,6,2,0,0,15,15,13,44,0,13,13,19,38,1,11,5,2,33,0,5,2,5,25,0
2015-08-22,Leicester,Tottenham,1,1,D,2,6,0,0,25,23,9,47,0,12,10,11,40,1,7,16,20,59,2,16,20,16,41,0
2015-08-22,Man United,Newcastle,0,0,D,8,0,0,0,17,12,10,41,1,5,9,19,39,4,20,19,9,73,0,8,9,19,47,1
2015-08-22,Norwich,Stoke,1,1,D,7,1,0,0,7,8,18,46,0,13,16,11,46,1,8,4,4,28,1,8,4,4,23,1
2015-08-22,Sunderland,Swansea,1,1,D,2,9,0,0,12,11,16,43,0,17,16,13,53,0,8,6,10,24,0,11,10,6,46,2
2015-08-22,West Ham,Bournemouth,3,4,A,4,7,1,0,8,7,12,34,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
2015-08-23,Everton,Man City,0,2,A,1,9,0,0,17,15,10,48,0,24,27,10,61,0,14,12,13,40,2,14,13,12,75,1
2015-08-23,Watford,Southampton,0,0,D,0,5,0,0,10,12,15,43,0,8,14,17,45,1,0,0,0,0,0,0,0,0,0,0
2015-08-23,West Brom,Chelsea,2,3,A,6,5,0,1,12,11,15,37,1,18,12,11,37,2,11,11,18,45,1,17,18,11,95,1
2015-08-24,Arsenal,Liverpool,0,0,D,5,8,0,0,18,15,8,71,0,14,10,16,46,1,16,17,15,65,2,10,15,17,62,3
2015-08-29,Aston Villa,Sunderland,2,2,D,6,3,0,0,13,13,18,38,1,10,11,17,41,0,16,14,5,62,2,10,5,14,36,3
2015-08-29,Bournemouth,Leicester,1,1,D,2,2,0,0,3,4,5,11,0,23,21,8,45,0,0,0,0,0,0,0,0,0,0,0
2015-08-29,Chelsea,Crystal Palace,1,2,A,9,6,0,0,18,14,13,41,3,15,15,13,47,0,15,11,4,44,1,3,4,11,21,1
2015-08-29,Liverpool,West Ham,0,3,A,1,5,1,1,15,9,12,52,0,8,9,14,31,2,22,22,12,91,0,7,12,22,40,1
2015-08-29,Man City,Watford,2,0,H,5,0,0,0,27,28,8,66,0,11,12,14,37,0,2,1,1,13,0,2,1,1,5,0
2015-08-29,Newcastle,Arsenal,0,1,A,0,9,1,0,6,9,18,38,4,16,11,7,66,0,5,11,24,38,0,23,24,11,70,3
2015-08-29,Stoke,West Brom,0,1,A,5,5,2,0,14,16,10,45,1,12,12,14,37,0,18,11,5,32,0,9,5,11,66,0
2015-08-29,Tottenham,Everton,0,0,D,6,3,0,0,12,11,12,44,1,14,14,12,48,0,15,11,9,62,0,12,9,11,50,0
2015-08-30,Southampton,Norwich,3,0,H,8,1,0,1,9,14,16,48,1,5,7,19,45,0,8,10,9,33,0,8,9,10,29,0
2015-08-30,Swansea,Man United,2,1,H,4,4,0,0,15,14,13,58,0,15,9,9,42,1,7,7,14,45,0,16,14,7,70,0
2015-09-12,Arsenal,Stoke,2,0,H,12,4,0,0,16,11,7,70,0,13,15,10,48,3,17,15,10,61,1,11,10,15,36,0
2015-09-12,Crystal Palace,Man City,0,1,A,2,7,0,0,15,13,13,48,0,30,28,4,68,0,3,4,12,13,0,15,12,4,36,0
2015-09-12,Everton,Chelsea,3,1,H,9,2,0,0,14,13,11,43,0,15,14,15,48,3,10,11,16,55,2,19,16,11,74,0
2015-09-12,Man United,Liverpool,3,1,H,3,4,0,0,12,6,9,39,1,12,7,15,47,1,19,16,14,52,1,10,14,16,60,2
2015-09-12,Norwich,Bournemouth,3,1,H,4,2,0,0,5,7,19,42,1,4,5,6,13,0,0,0,0,0,0,0,0,0,0,0
2015-09-12,Watford,Swansea,1,0,H,6,3,1,0,11,11,12,34,0,17,15,13,59,0,0,0,0,0,0,0,0,0,0,0
2015-09-12,West Brom,Southampton,0,0,D,1,4,0,0,15,11,11,37,0,9,15,16,52,1,15,9,5,42,1,12,5,9,49,3
2015-09-13,Leicester,Aston Villa,3,2,H,6,4,0,0,21,20,9,41,0,13,12,17,37,1,8,8,14,37,3,14,14,8,52,2
2015-09-13,Sunderland,Tottenham,0,1,A,2,4,0,0,11,12,15,41,0,13,11,11,47,1,3,8,18,50,1,24,18,8,100,0
2015-09-14,West Ham,Newcastle,2,0,H,3,4,0,0,10,11,13,33,3,6,9,17,35,4,12,9,15,39,0,15,15,9,64,1
2015-09-19,Aston Villa,West Brom,0,1,A,3,6,0,0,10,13,20,38,0,13,9,11,34,0,13,15,15,52,2,13,15,15,50,1
2015-09-19,Bournemouth,Sunderland,2,0,H,5,2,0,1,4,6,9,15,0,10,11,15,38,0,0,0,0,0,0,0,0,0,0,0
2015-09-19,Chelsea,Arsenal,2,0,H,7,2,0,2,14,15,18,47,3,18,13,7,81,0,18,18,10,61,0,9,10,18,50,1
2015-09-19,Man City,West Ham,1,2,A,8,3,0,0,30,27,4,72,0,13,13,11,33,3,23,19,8,79,0,5,8,19,39,0
2015-09-19,Newcastle,Watford,1,2,A,5,4,0,0,6,8,16,34,4,11,8,10,30,1,4,3,2,7,0,1,2,3,10,0
2015-09-19,Stoke,Leicester,2,2,D,4,5,0,0,10,13,11,50,3,21,22,11,43,0,3,1,1,7,0,3,1,1,4,0
2015-09-19,Swansea,Everton,0,0,D,3,2,0,1,17,15,12,56,0,14,15,12,44,0,3,4,12,33,2,18,12,4,64,0
2015-09-20,Liverpool,Norwich,1,1,D,7,2,0,0,11,8,18,46,1,8,10,19,42,1,22,27,7,76,0,1,7,27,38,0
