Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10,HomeTeamPointWeightLast20,HomeTeamGoalScoredWeightLast20,HomeTeamGoalConcededWeightLast20,HomeTeamShotTargetWeightLast20,HomeTeamRedWeightLast20,AwayTeamPointWeightLast20,AwayTeamGoalScoredWeightLast20,AwayTeamGoalConcededWeightLast20,AwayTeamShotTargetWeightLast20,AwayTeamRedWeightLast20
2015-08-08,Bournemouth,Aston Villa,0,1,A,2,3,0,0,0,0,0,0,0,18,20,35,76,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2400003689068626,6.684808084193282e-05,0.0129593414677273,0.7351628542446143,0.208002560032768
2015-08-08,Chelsea,Swansea,2,2,D,3,10,1,0,42,33,19,97,2,28,23,30,83,1,20,19,5,68,2,2,5,19,31,1,0.22935467513377458,0.3444640450363052,0.40038670746298355,0.5386647564816012,2.5600000524288014e-06,0.0490332309338194,0.24838984354008925,0.8560924887419035,1.064823386026772,0.04000000000000001
2015-08-08,Everton,Watford,2,2,D,5,5,0,0,26,21,22,81,2,17,18,35,88,1,6,5,1,7,0,0,1,5,11,0,0.010626636467562088,0.4083251906701951,0.6880191530643595,0.5591646150538141,0.04001280000000001,0.040968212579782504,0.20064311735889168,0.4277896740093402,0.8439587979549423,0.04000000000000001
2015-08-08,Leicester,Sunderland,4,2,H,8,5,0,0,31,30,24,75,2,19,15,26,70,2,9,4,2,25,0,6,2,4,29,1,0.6640026777402266,0.28833799246111047,0.0826558316740713,0.5495029066860542,0.20800000000000002,0.20102666491427554,0.08230410343154715,0.13129081311071308,0.775495020424452,0.008000512000000001
2015-08-08,Man United,Tottenham,1,0,H,1,4,0,0,35,29,18,95,2,34,34,29,97,1,16,17,9,69,1,10,9,17,69,0,0.24586431987796936,0.04426615914553673,0.0484019252969341,1.0932869968100958,6.400000001048579e-05,0.3259564164122464,0.21232047729552658,0.13770872033981238,1.1746807176767,2.6214400000000027e-13
2015-08-08,Norwich,Crystal Palace,1,3,A,6,7,0,0,14,12,31,81,2,33,27,21,73,1,6,6,5,26,1,3,5,6,25,0,0.045134358937652434,0.04166464471302145,0.25613356699984335,1.0314670276549804,0.04032000000000001,0.26900641267730874,0.02088096792618992,0.01153856003957064,0.6635370448382801,5.120000000000002e-07
2015-08-09,Arsenal,West Ham,0,2,A,6,4,0,0,45,39,14,127,0,16,15,26,74,1,28,27,7,104,1,1,7,27,42,1,0.6298079999298949,0.4288960218926049,0.28014346732333695,1.6956550153240892,0.0,0.05287937246232577,0.25286963708040316,0.448710821708164,0.9706527152109362,1.2800000000000005e-05
2015-08-09,Newcastle,Southampton,2,2,D,4,5,0,0,16,21,37,76,4,28,23,19,83,3,14,14,20,63,0,14,20,14,69,0,0.6410383360002937,0.7226373161422108,0.539289773301144,1.4066102246104788,2.0646461440000012e-08,0.34900514046623093,0.29126413144718055,0.20192565338106233,0.455143848408609,0.20032000000131073
2015-08-09,Stoke,Liverpool,0,1,A,1,3,0,0,32,29,22,76,1,37,30,24,110,2,14,15,11,40,0,14,11,15,69,1,0.645833523469568,0.442642641951979,0.06443779051619354,0.702032750634588,1.3107200000000013e-12,0.6698719851684825,0.8918847745258266,0.28002612347714667,2.482727328551996,4.915200000000003e-09
2015-08-10,West Brom,Man City,0,3,A,2,7,0,0,27,20,25,68,2,37,44,23,128,0,1,5,24,49,2,28,24,5,89,2,0.0657065575492092,0.048154236094156644,0.44108822085662414,0.9456555066967196,4.915200000000003e-09,0.32843039961087217,0.5284487303231911,0.4915978467869721,1.7044470454376048,0.0
2015-08-14,Aston Villa,Man United,0,1,A,1,2,0,0,20,21,35,76,3,37,30,18,91,2,2,8,27,43,1,26,27,8,81,0,0.20000184453434444,0.00033424040422014984,0.0647967073386365,0.6758142712231023,0.040012800163840005,0.2293215993898782,0.2213307957276941,0.24200962648467048,0.4664349840504888,0.0003200000000524289
2015-08-15,Southampton,Everton,0,3,A,4,4,0,0,28,24,20,87,2,27,21,21,84,2,10,12,12,49,0,16,12,12,48,0,0.745025702331165,0.45632065723592347,0.009628266905332616,1.2757192420430972,0.0016000000065536002,0.053133182337820925,0.04162595335099647,0.4400957653218178,0.7958230752691225,0.20006400000000002
2015-08-15,Sunderland,Norwich,1,3,A,2,6,0,0,18,17,30,72,2,14,13,33,83,2,5,6,7,32,2,11,7,6,33,1,0.005133324571377665,0.4115205171577566,0.6564540655536073,0.8774751021223117,0.040002560000000006,0.22567179468826215,0.2083232235651177,0.280667834999248,1.157335138274965,0.2016
