Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10
2015-08-29,Stoke,West Brom,0,1,A,M Oliver,5,5,2,0,30,29,22,78,1,24,20,28,66,2,18,11,5,32,0,9,5,11,66,0
2015-08-29,Tottenham,Everton,0,0,D,M Jones,6,3,0,0,32,31,28,97,1,29,23,20,82,1,15,11,9,62,0,12,9,11,50,0
2015-08-30,Southampton,Norwich,3,0,H,J Moss,8,1,0,1,23,21,23,89,2,17,16,32,88,1,8,10,9,33,0,8,9,10,29,0
2015-08-30,Swansea,Man United,2,1,H,M Atkinson,4,4,0,0,31,25,27,95,0,40,30,16,99,2,7,7,14,45,0,16,14,7,70,0
2015-09-12,Arsenal,Stoke,2,0,H,J Moss,12,4,0,0,43,35,14,132,0,27,28,23,80,3,17,15,10,61,1,11,10,15,36,0
2015-09-12,Crystal Palace,Man City,0,1,A,M Jones,2,7,0,0,34,30,23,82,1,44,48,16,133,0,3,4,12,13,0,15,12,4,36,0
2015-09-12,Everton,Chelsea,3,1,H,A Marriner,9,2,0,0,29,23,20,81,1,39,28,22,93,4,10,11,16,55,2,19,16,11,74,0
2015-09-12,Man United,Liverpool,3,1,H,M Oliver,3,4,0,0,37,29,18,96,2,34,23,24,98,3,19,16,14,52,1,10,14,16,60,2
2015-09-12,Norwich,Bournemouth,3,1,H,M Atkinson,4,2,0,0,14,15,35,85,2,4,5,6,13,0,0,0,0,0,0,0,0,0,0,0
2015-09-12,Watford,Swansea,1,0,H,R Madley,6,3,1,0,19,19,32,80,0,34,27,23,99,0,0,0,0,0,0,0,0,0,0,0
2015-09-12,West Brom,Southampton,0,0,D,S Attwell,1,4,0,0,26,21,28,71,2,23,22,22,94,2,15,9,5,42,1,12,5,9,49,3
2015-09-13,Leicester,Aston Villa,3,2,H,M Dean,6,4,0,0,32,34,26,82,0,20,24,37,77,2,8,8,14,37,3,14,14,8,52,2
2015-09-13,Sunderland,Tottenham,0,1,A,C Pawson,2,4,0,0,20,18,30,70,1,30,29,27,95,1,3,8,18,50,1,24,18,8,100,0
2015-09-14,West Ham,Newcastle,2,0,H,A Taylor,3,4,0,0,17,18,28,72,4,14,16,33,64,6,12,9,15,39,0,15,15,9,64,1
2015-09-19,Aston Villa,West Brom,0,1,A,M Atkinson,3,6,0,0,20,26,35,79,2,27,21,25,68,2,13,15,15,52,2,13,15,15,50,1
2015-09-19,Bournemouth,Sunderland,2,0,H,K Friend,5,2,0,1,4,6,9,15,0,17,16,31,69,1,0,0,0,0,0,0,0,0,0,0
2015-09-19,Chelsea,Arsenal,2,0,H,M Dean,7,2,0,2,38,28,24,93,4,43,32,14,136,0,18,18,10,61,0,9,10,18,50,1
2015-09-19,Man City,West Ham,1,2,A,R Madley,8,3,0,0,46,48,15,135,0,20,20,26,73,4,23,19,8,79,0,5,8,19,39,0
2015-09-19,Newcastle,Watford,1,2,A,R East,5,4,0,0,11,13,35,63,6,19,18,31,79,1,4,3,2,7,0,1,2,3,10,0
2015-09-19,Stoke,Leicester,2,2,D,A Marriner,4,5,0,0,24,25,24,81,3,35,36,25,87,0,3,1,1,7,0,3,1,1,4,0
2015-09-19,Swansea,Everton,0,0,D,S Attwell,3,2,0,1,31,26,24,101,0,29,25,21,88,1,3,4,12,33,2,18,12,4,64,0
2015-09-20,Liverpool,Norwich,1,1,D,A Taylor,7,2,0,0,31,22,27,95,3,16,18,36,87,1,22,27,7,76,0,1,7,27,38,0
