Home team,Away team,Home team Points H2H,Home team Goal scored H2H,Home Team Red Cards H2H,Home Team Shot on Target H2H,Away team Points H2H,Away team Goal scored H2H,Away Team Red Cards H2H,Away Team Shot on Target H2H
Southampton,Chelsea,9,13,1,50,39,47,0,105
Tottenham,Sunderland,37,31,1,142,4,11,2,58
Everton,Aston Villa,27,34,1,121,27,26,1,91
Derby,West Ham,2,0,0,7,5,5,0,21
Arsenal,Derby,7,6,0,26,1,0,0,5
Aston Villa,Tottenham,17,16,1,106,41,38,3,150
Bradford,Everton,0,0,0,6,3,1,0,4
Ipswich,Charlton,3,2,0,24,3,1,0,10
Leicester,Newcastle,21,26,0,51,9,8,3,34
Man United,Middlesbrough,15,13,0,92,9,9,0,40
Sunderland,Southampton,7,8,0,36,13,13,1,51
West Ham,Man City,20,21,0,74,32,38,0,120
Chelsea,Leeds,22,19,0,55,1,10,0,30
Liverpool,Coventry,3,4,0,13,0,1,0,5
Charlton,Chelsea,9,10,1,34,12,13,0,56
Derby,Bradford,3,2,0,3,0,0,0,4
Everton,Arsenal,35,30,3,92,29,36,2,127
Leeds,West Ham,6,8,0,46,15,9,1,39
Man City,Man United,35,37,0,133,32,25,4,88
Middlesbrough,Leicester,5,4,0,19,5,6,0,20
Newcastle,Sunderland,16,17,0,102,16,16,2,65
Southampton,Aston Villa,21,24,1,75,15,16,1,55
Tottenham,Liverpool,34,33,1,127,31,35,5,153
Coventry,Ipswich,0,0,0,5,3,1,0,4
Charlton,Sunderland,5,5,0,29,5,4,0,19
Coventry,Aston Villa,1,1,0,2,1,1,0,4
Derby,Man United,1,2,0,15,7,6,0,25
Everton,Chelsea,37,26,3,108,28,25,2,148
Man City,Ipswich,0,2,0,4,3,3,0,4
Middlesbrough,Bradford,1,2,1,9,1,2,0,5
Southampton,West Ham,17,11,1,69,17,11,5,56
Tottenham,Leicester,23,28,0,64,8,19,2,45
Leeds,Arsenal,5,7,0,25,17,21,1,62
Newcastle,Liverpool,28,20,3,74,28,29,2,129
Arsenal,Southampton,38,38,2,112,5,11,1,73
Aston Villa,Newcastle,36,28,0,89,18,13,4,90
Bradford,Coventry,3,2,0,6,0,1,0,7
Ipswich,Derby,3,3,0,23,3,2,1,5
Leicester,Leeds,15,11,0,41,6,6,1,33
Liverpool,Charlton,14,11,0,61,5,4,0,17
Man United,Tottenham,56,47,1,183,14,25,1,106
West Ham,Middlesbrough,19,12,0,45,1,3,2,40
Chelsea,Man City,39,34,3,113,24,19,4,103
Sunderland,Everton,16,12,0,79,22,14,0,76
Arsenal,Newcastle,55,51,2,167,7,12,2,64
Bradford,Tottenham,1,3,0,6,1,3,0,4
Charlton,Man United,1,5,2,32,19,20,0,59
Chelsea,Derby,9,12,0,26,0,3,0,7
Man City,Everton,43,43,4,159,19,16,3,76
Southampton,Leeds,18,9,1,40,6,6,1,28
Sunderland,Middlesbrough,9,7,0,41,9,8,1,31
West Ham,Aston Villa,31,25,0,98,13,15,2,100
Coventry,Leicester,3,1,0,5,0,0,0,1
Liverpool,Ipswich,3,5,0,13,3,1,0,8
Aston Villa,Man City,17,21,2,89,38,33,1,133
Derby,Coventry,3,1,0,3,0,0,0,5
Everton,West Ham,32,33,1,120,26,20,2,84
Ipswich,Southampton,3,4,0,11,3,4,0,8
Leeds,Sunderland,6,4,0,24,3,1,0,10
Leicester,Charlton,5,5,0,17,2,3,0,18
Middlesbrough,Chelsea,9,7,0,33,18,14,0,67
Newcastle,Bradford,3,2,0,6,0,1,0,3
Man United,Liverpool,38,34,6,125,29,39,2,115
Tottenham,Arsenal,39,40,0,140,18,26,5,117
Coventry,Southampton,1,1,0,5,1,1,0,2
Charlton,Everton,12,9,0,45,6,6,1,35
Chelsea,Bradford,3,3,0,8,0,0,0,1
Derby,Newcastle,6,5,0,10,3,3,0,16
Leeds,Aston Villa,5,5,1,28,17,14,0,54
Leicester,West Ham,18,19,2,46,12,18,1,46
Liverpool,Arsenal,42,58,2,177,21,29,2,105
Man United,Ipswich,6,6,0,12,0,0,0,4
Sunderland,Man City,16,9,0,63,22,18,0,86
Tottenham,Middlesbrough,21,14,1,69,3,3,2,35
Arsenal,Leicester,33,30,1,98,3,9,2,29
Aston Villa,Man United,8,15,4,114,44,36,3,139
Bradford,Sunderland,0,1,0,3,3,4,0,11
Everton,Coventry,0,1,0,9,3,2,0,5
