Home team,Away team,Home team Points H2H,Home team Goal scored H2H,Home Team Red Cards H2H,Home Team Shot on Target H2H,Away team Points H2H,Away team Goal scored H2H,Away Team Red Cards H2H,Away Team Shot on Target H2H
Tottenham,Middlesboro,0,0,0,4,3,3,0,12
West Brom,Blackburn,8,9,1,41,8,8,3,35
Middlesboro,Bolton,3,2,0,2,0,0,0,4
Newcastle,West Brom,26,23,0,86,8,14,1,39
West Ham,Birmingham,7,7,1,43,7,4,0,21
West Brom,Birmingham,7,8,0,32,4,5,1,11
Charlton,Middlesboro,3,1,0,7,0,0,0,5
Birmingham,Man City,11,9,2,29,8,8,0,35
Chelsea,West Brom,32,30,1,118,5,10,1,42
Middlesboro,Leeds,1,2,1,7,1,2,1,7
Birmingham,Bolton,15,11,0,39,6,6,1,35
West Brom,Man City,10,13,1,54,28,28,3,82
Newcastle,Middlesboro,3,2,0,13,0,0,1,9
Bolton,West Brom,10,8,1,58,4,4,0,38
Chelsea,Birmingham,17,15,0,74,2,4,0,17
Middlesboro,Liverpool,3,1,0,3,0,0,0,7
Chelsea,Middlesboro,3,1,0,5,0,0,0,4
West Brom,Aston Villa,12,10,2,51,15,13,1,62
Birmingham,Fulham,9,6,1,37,9,7,4,34
Everton,West Brom,25,21,1,94,10,12,2,56
Middlesboro,Man City,3,3,0,7,0,1,1,5
Sunderland,Birmingham,7,7,1,22,7,5,0,39
Birmingham,Tottenham,10,9,0,43,7,7,0,48
Man City,Bolton,21,18,3,84,9,8,0,37
West Brom,Middlesboro,3,1,0,8,0,0,0,2
Middlesboro,West Ham,1,2,0,5,1,2,0,8
Southampton,Birmingham,5,2,0,16,2,0,0,9
Tottenham,West Brom,24,20,0,89,9,10,0,51
Aston Villa,West Brom,19,17,3,74,10,14,1,49
Middlesboro,Chelsea,1,1,0,6,1,1,0,11
Fulham,Birmingham,9,7,0,38,9,6,1,20
Arsenal,Middlesboro,3,2,0,14,0,0,1,1
Birmingham,Charlton,2,3,2,28,8,5,0,19
West Brom,Sunderland,23,20,0,59,5,6,0,35
Birmingham,Everton,6,7,1,40,12,8,1,45
Middlesboro,Man United,3,3,0,5,0,1,0,6
West Brom,Arsenal,12,16,0,49,24,24,1,83
Aston Villa,Middlesboro,3,1,0,9,0,0,1,4
Charlton,West Brom,4,2,2,19,4,4,0,23
Fulham,Man City,8,17,0,71,26,29,0,93
Man United,Birmingham,21,17,0,73,0,0,1,19
Blackburn,Middlesboro,3,1,0,10,0,0,0,3
Leeds,Birmingham,3,2,1,12,3,2,0,8
Middlesboro,Southampton,1,2,0,4,1,2,0,8
West Brom,Man United,6,14,1,52,30,32,1,76
Birmingham,Arsenal,5,5,2,19,14,16,0,58
Blackburn,Birmingham,13,12,1,47,4,8,0,34
Leeds,West Brom,4,3,0,13,1,1,1,6
Fulham,Middlesboro,3,1,0,6,0,0,0,4
Middlesboro,Aston Villa,0,2,0,8,3,5,0,9
Man City,Fulham,25,30,0,99,13,14,1,61
West Brom,Charlton,0,1,0,20,9,4,0,8
Bolton,Birmingham,14,13,1,57,5,7,0,24
Man City,West Brom,30,29,0,113,6,9,3,55
Birmingham,Man United,4,5,0,39,13,8,1,43
Birmingham,Chelsea,6,2,0,24,12,5,1,48
Liverpool,Middlesboro,1,1,0,10,1,1,0,2
West Brom,Bolton,10,7,0,38,4,5,0,37
Fulham,West Brom,23,22,0,62,2,3,1,49
Sunderland,Middlesboro,0,1,0,4,3,3,0,5
Birmingham,Liverpool,10,9,2,20,7,9,0,48
West Brom,West Ham,12,14,0,65,18,18,0,61
Blackburn,Man City,14,12,2,65,14,14,1,52
Middlesboro,Everton,1,1,0,2,1,1,0,5
Southampton,West Brom,17,11,3,47,8,7,1,28
Aston Villa,Birmingham,11,12,2,40,8,8,0,51
Middlesboro,Newcastle,3,1,0,4,0,0,0,0
Leeds,Middlesboro,0,2,0,8,3,3,0,3
Man City,Birmingham,17,14,1,57,2,2,1,23
West Brom,Chelsea,11,15,0,57,26,27,3,94
Birmingham,West Brom,7,7,0,16,4,4,0,21
Middlesboro,Charlton,1,1,0,6,1,1,0,4
Bolton,Man City,12,12,1,69,15,12,1,54
Middlesboro,West Brom,3,3,0,12,0,0,0,6
Tottenham,Birmingham,18,15,1,59,3,7,1,25
Birmingham,Sunderland,13,9,0,30,1,3,1,20
Man City,Middlesboro,1,0,0,6,1,0,0,1
West Brom,Everton,14,14,0,62,23,14,1,66
Charlton,Birmingham,7,6,0,20,4,4,0,22
Middlesboro,Arsenal,0,0,0,3,3,2,0,2
Sunderland,West Brom,11,15,0,67,14,13,0,47
Birmingham,Southampton,9,7,0,19,0,4,1,16
West Brom,Tottenham,14,15,1,62,20,18,1,90
West Ham,Middlesboro,3,1,0,9,0,0,0,2
Birmingham,Middlesboro,3,3,0,6,0,0,0,4
West Brom,Liverpool,10,10,1,67,25,25,1,81
Blackburn,West Brom,9,7,1,53,6,4,0,43
Middlesboro,Tottenham,3,5,0,16,0,1,1,4
Newcastle,Birmingham,15,8,0,51,3,4,2,22
Birmingham,West Ham,5,6,0,30,8,7,1,34
Bolton,Middlesboro,3,2,0,6,0,1,1,3
West Brom,Newcastle,14,13,0,59,17,17,1,68
Blackburn,Wolves,9,12,0,38,3,4,0,21
Portsmouth,Aston Villa,8,9,3,48,11,9,3,37
Man City,Portsmouth,17,16,0,56,2,3,1,22
Wolves,Charlton,0,0,0,4,3,4,1,6
Portsmouth,Bolton,11,12,0,49,8,7,0,23
Man United,Wolves,17,12,0,62,11,6,0,51
Wolves,Portsmouth,1,0,0,7,4,1,0,10
Arsenal,Portsmouth,17,18,1,56,2,5,0,30
Southampton,Wolves,3,5,0,36,15,8,0,20
Portsmouth,Blackburn,8,9,3,50,11,8,2,45
Wolves,Chelsea,12,8,0,31,15,16,0,43
Birmingham,Portsmouth,10,8,0,23,4,2,0,25
Bolton,Wolves,8,4,0,40,2,2,0,18
Portsmouth,Charlton,3,6,0,26,9,7,0,22
Wolves,Man City,10,11,0,40,19,27,1,61
Fulham,Wolves,8,7,0,36,5,2,1,15
Portsmouth,Liverpool,10,9,0,38,10,9,1,45
Newcastle,Portsmouth,11,8,0,45,5,5,0,24
Wolves,Leicester,14,10,0,21,2,6,1,32
Man United,Portsmouth,21,20,0,69,0,1,0,25
Middlesbrough,Wolves,3,2,0,11,0,0,1,2
Portsmouth,Leeds,3,6,0,6,0,1,0,5
Wolves,Birmingham,4,2,0,15,4,2,0,9
Everton,Wolves,14,10,3,51,11,8,2,32
Fulham,Portsmouth,13,11,1,49,7,8,1,46
Portsmouth,Leicester,0,0,0,7,3,2,0,3
Wolves,Newcastle,13,11,0,34,7,9,0,25
Middlesbrough,Portsmouth,7,5,1,47,7,7,1,26
Tottenham,Wolves,10,11,0,75,13,11,0,40
Leicester,Birmingham,0,0,2,5,3,2,0,4
Portsmouth,Everton,7,5,0,61,13,6,0,26
Aston Villa,Wolves,6,11,0,37,15,14,0,30
Southampton,Portsmouth,6,5,0,12,0,1,0,13
Arsenal,Wolves,21,16,0,72,6,8,2,31
Portsmouth,Tottenham,10,7,2,54,10,6,1,40
Chelsea,Portsmouth,21,17,0,69,0,2,0,25
Wolves,Leeds,6,10,3,33,9,10,1,29
Aston Villa,Portsmouth,14,9,0,52,5,4,1,37
Wolves,Blackburn,2,5,0,22,8,8,0,31
Charlton,Wolves,3,2,0,4,0,0,0,4
Portsmouth,Man City,13,11,0,57,7,8,0,46
Bolton,Portsmouth,13,9,0,55,7,7,1,33
Wolves,Man United,7,5,1,44,19,13,0,52
Wolves,Liverpool,2,2,0,26,23,13,0,62
Portsmouth,Wolves,4,3,0,18,1,1,0,15
Tottenham,Portsmouth,19,17,0,69,1,7,0,34
Wolves,Arsenal,3,4,1,43,21,16,5,37
Leeds,Wolves,6,7,0,22,6,5,0,20
Portsmouth,Chelsea,1,1,0,35,19,15,0,58
Wolves,Fulham,13,8,0,29,1,3,0,17
Leicester,Wolves,17,6,1,27,2,0,0,19
Portsmouth,Newcastle,7,4,0,41,7,6,0,24
Birmingham,Middlesbrough,9,8,0,28,3,4,1,27
Birmingham,Leicester,0,0,0,4,3,1,0,2
Everton,Portsmouth,15,10,0,51,6,6,0,36
Wolves,Aston Villa,13,12,1,53,13,15,0,49
Liverpool,Portsmouth,17,16,0,64,2,3,0,21
Liverpool,Wolves,24,19,0,58,3,5,1,37
Middlesbrough,Birmingham,12,10,0,28,0,4,0,24
Portsmouth,Southampton,6,5,0,16,0,1,0,16
Blackburn,Portsmouth,15,12,0,45,6,5,0,30
Chelsea,Wolves,16,20,0,68,4,8,0,30
Wolves,Southampton,14,14,0,34,5,9,0,53
Charlton,Portsmouth,7,5,0,31,4,4,0,24
Man City,Wolves,22,18,1,82,4,10,3,26
Portsmouth,Birmingham,8,10,0,40,5,7,2,26
Wolves,Bolton,3,7,0,28,9,9,0,32
Portsmouth,Man United,10,8,1,50,10,10,1,59
Wolves,Middlesbrough,3,2,0,8,0,0,0,10
Birmingham,Wolves,5,5,1,20,2,4,0,14
Leeds,Portsmouth,0,1,0,6,3,2,0,5
Portsmouth,Fulham,9,8,0,65,9,8,0,37
Wolves,Everton,15,11,0,40,9,11,1,58
Portsmouth,Arsenal,4,3,1,35,13,10,0,48
Leicester,Portsmouth,3,3,0,9,0,1,0,7
Newcastle,Wolves,16,13,2,54,7,8,0,43
Portsmouth,Middlesbrough,13,10,0,51,4,4,0,27
Wolves,Tottenham,5,8,1,60,23,16,0,71
Norwich,Crystal Palace,8,7,0,26,8,8,0,36
Crystal Palace,Everton,13,13,0,50,16,12,3,55
Man United,Norwich,24,26,0,72,3,9,0,30
Crystal Palace,Chelsea,6,5,1,24,24,16,1,51
Newcastle,Norwich,17,15,0,52,5,8,3,43
Middlesbrough,Crystal Palace,3,3,0,19,3,3,0,6
Norwich,Arsenal,5,6,0,33,20,26,0,72
Portsmouth,Crystal Palace,3,3,0,7,0,1,0,3
Tottenham,Norwich,20,18,1,66,5,4,0,21
Crystal Palace,Man City,7,4,0,20,22,12,0,60
Norwich,Aston Villa,7,6,0,38,19,14,0,57
Aston Villa,Crystal Palace,11,8,1,37,8,5,0,34
Liverpool,Norwich,23,28,0,87,2,7,0,29
Norwich,Portsmouth,1,2,0,9,1,2,0,5
Crystal Palace,Fulham,4,3,0,14,4,4,1,15
Bolton,Crystal Palace,3,1,0,7,0,0,0,2
West Brom,Norwich,4,3,0,30,10,6,0,17
Crystal Palace,West Brom,15,11,0,35,6,4,0,23
Norwich,Everton,15,15,0,43,6,12,0,43
Birmingham,Crystal Palace,0,0,0,11,3,1,0,1
Man City,Norwich,19,32,0,58,4,6,1,18
Crystal Palace,Arsenal,15,21,0,47,18,16,2,58
Norwich,Blackburn,2,4,0,11,2,4,1,16
Charlton,Norwich,3,4,0,11,0,0,0,4
Liverpool,Crystal Palace,21,21,0,68,9,10,0,30
West Brom,Middlesbrough,4,4,1,25,7,4,1,16
Crystal Palace,Newcastle,9,10,0,42,15,13,0,42
Norwich,Southampton,19,10,0,27,1,4,1,35
Birmingham,Norwich,1,1,0,10,1,1,0,3
Southampton,Crystal Palace,17,20,0,51,14,14,0,43
Norwich,Fulham,2,2,0,24,8,4,0,27
Portsmouth,West Brom,7,6,0,18,1,4,0,13
Crystal Palace,Charlton,0,0,0,3,3,1,0,7
Crystal Palace,Blackburn,1,0,0,1,1,0,1,8
Norwich,Bolton,6,5,0,13,0,2,0,9
Chelsea,Norwich,22,33,0,79,1,2,4,18
Man United,Crystal Palace,28,21,0,66,7,7,1,22
Crystal Palace,Portsmouth,0,0,0,10,3,1,0,6
Norwich,Tottenham,5,4,0,23,20,25,0,78
Middlesbrough,Norwich,3,2,0,11,0,0,0,2
Tottenham,Crystal Palace,29,23,0,62,2,2,3,29
Fulham,Crystal Palace,4,6,1,20,7,7,0,28
Portsmouth,Norwich,1,1,0,6,1,1,1,5
Crystal Palace,Aston Villa,15,12,0,46,12,10,1,31
Norwich,Liverpool,0,9,0,34,27,28,0,64
Aston Villa,Norwich,25,20,1,48,1,4,0,37
Man City,Crystal Palace,22,27,3,62,10,9,0,24
Crystal Palace,Tottenham,16,16,0,45,16,9,3,43
Norwich,Middlesbrough,1,4,0,9,1,4,0,15
West Brom,Crystal Palace,9,10,1,31,9,13,1,28
Everton,Norwich,20,14,0,60,5,4,0,27
Crystal Palace,Bolton,0,0,0,7,3,1,0,6
Norwich,West Brom,6,7,0,27,9,5,0,31
Blackburn,Norwich,6,5,0,19,0,0,0,11
Arsenal,Crystal Palace,21,24,0,75,6,12,1,42
Crystal Palace,Birmingham,3,2,0,2,0,0,0,5
Norwich,Man City,5,9,1,34,20,27,1,76
Crystal Palace,Man United,12,7,1,34,15,9,0,46
Norwich,Chelsea,1,8,0,31,25,21,0,72
Bolton,Norwich,3,2,1,17,3,2,0,7
Chelsea,Crystal Palace,30,29,0,93,6,8,0,26
Arsenal,Norwich,22,18,0,70,1,6,0,24
Crystal Palace,Middlesbrough,3,1,0,16,3,1,0,9
Norwich,Man United,6,5,0,41,21,10,0,57
Everton,Crystal Palace,24,28,0,68,9,17,0,47
Crystal Palace,Norwich,17,16,0,41,2,4,1,29
Blackburn,Crystal Palace,3,1,0,7,0,0,0,3
Norwich,Newcastle,14,12,1,44,11,15,2,54
Crystal Palace,Liverpool,7,15,1,53,28,32,1,77
Middlesbrough,West Brom,5,7,0,32,5,4,0,29
Norwich,Charlton,3,1,0,6,0,0,0,6
Newcastle,Crystal Palace,23,11,0,48,5,5,0,27
Southampton,Norwich,22,20,0,57,1,7,1,22
Crystal Palace,Southampton,13,14,1,50,19,17,1,51
Norwich,Birmingham,3,1,0,4,0,0,1,9
Charlton,Crystal Palace,1,2,0,5,1,2,0,6
Fulham,Norwich,12,14,0,30,0,1,0,13
West Brom,Portsmouth,7,5,0,15,1,2,0,7
Wigan,Chelsea,4,6,0,52,19,17,1,48
Charlton,Wigan,6,2,0,11,0,0,0,1
Wigan,Sunderland,11,10,1,52,8,9,1,38
West Brom,Wigan,4,9,0,44,10,10,0,27
Wigan,Middlesbrough,4,2,0,25,7,3,0,9
Everton,Wigan,17,15,0,75,5,7,0,43
Wigan,Bolton,9,6,1,51,9,8,0,35
Wigan,Newcastle,18,11,1,43,3,3,1,30
Aston Villa,Wigan,6,4,0,54,15,11,1,42
Sunderland,Portsmouth,4,5,0,22,7,7,1,21
Wigan,Fulham,8,5,0,51,11,7,0,30
Portsmouth,Wigan,9,8,0,37,6,4,0,30
Wigan,Arsenal,5,8,1,45,17,17,0,60
Wigan,Tottenham,7,9,1,46,13,13,0,58
Liverpool,Wigan,17,16,0,74,5,7,1,29
Chelsea,Wigan,22,23,0,87,1,4,1,41
Man United,Wigan,24,28,0,82,0,1,3,34
Wigan,Charlton,6,6,0,17,0,2,0,6
Portsmouth,West Ham,6,5,1,40,6,6,0,23
Wigan,Man City,11,12,1,36,11,11,1,48
West Ham,Wigan,13,11,0,46,7,9,0,50
Wigan,Blackburn,11,16,0,47,8,16,2,31
Birmingham,Wigan,10,6,1,23,1,2,0,19
Wigan,West Brom,7,5,0,37,7,5,1,27
Middlesbrough,Wigan,5,4,0,17,5,4,0,25
Wigan,Everton,7,7,1,41,13,10,1,44
Bolton,Wigan,8,11,0,49,11,7,0,41
Wigan,Liverpool,6,3,0,44,15,12,0,50
Tottenham,Wigan,14,21,0,68,8,7,0,38
Wigan,Man United,3,4,0,42,21,22,0,56
Sunderland,Wigan,10,10,0,48,10,8,1,38
Man City,Wigan,16,9,1,38,7,2,1,39
West Ham,Portsmouth,4,5,0,31,10,7,0,37
Wigan,West Ham,12,8,1,54,9,9,1,41
Blackburn,Wigan,16,12,1,45,4,6,1,52
Wigan,Birmingham,7,7,0,34,4,5,1,19
Newcastle,Wigan,17,14,0,55,2,6,3,40
Wigan,Aston Villa,6,8,0,50,15,14,0,43
Portsmouth,Sunderland,10,7,1,35,1,3,2,19
Fulham,Wigan,17,11,0,40,5,5,0,44
Wigan,Portsmouth,7,3,1,39,7,4,0,25
Arsenal,Wigan,21,21,0,66,3,6,2,29
Everton,Watford,14,17,0,37,11,22,0,47
Reading,Middlesbrough,4,4,0,16,1,3,0,16
Sheffield United,Liverpool,1,1,0,7,7,4,0,19
Tottenham,Sheffield United,7,7,0,29,1,1,0,8
Watford,West Ham,8,10,0,35,14,17,2,43
Aston Villa,Reading,9,6,0,21,0,2,1,12
Fulham,Sheffield United,6,2,0,12,0,0,0,3
Watford,Man United,15,22,0,49,12,14,4,48
Wigan,Reading,7,4,0,21,1,2,0,15
Bolton,Watford,3,1,0,2,0,0,0,6
Sheffield United,Blackburn,1,0,0,9,1,0,0,1
Reading,Man City,6,3,0,22,3,2,1,33
Sheffield United,Reading,0,1,0,7,3,2,0,2
Watford,Aston Villa,16,15,1,38,1,8,1,14
Arsenal,Sheffield United,7,6,0,20,1,2,0,10
Reading,Man United,1,4,0,14,7,7,0,22
Wigan,Watford,1,1,0,4,1,1,0,4
Sheffield United,Middlesbrough,3,2,0,7,0,1,0,2
West Ham,Reading,4,5,0,31,4,4,1,18
Watford,Fulham,1,3,0,4,1,3,0,3
Arsenal,Watford,21,16,0,51,3,2,3,22
Man City,Sheffield United,7,3,0,15,1,0,0,4
Reading,Chelsea,1,3,2,13,7,5,1,16
Charlton,Watford,1,0,0,8,1,0,0,3
Everton,Sheffield United,3,2,0,14,6,3,1,8
Reading,Arsenal,0,3,0,11,9,12,0,33
Portsmouth,Reading,6,10,0,29,0,5,0,11
Sheffield United,Chelsea,0,1,0,5,6,4,0,10
Watford,Tottenham,6,5,1,24,18,11,1,53
Liverpool,Reading,9,5,0,31,0,1,0,10
Newcastle,Sheffield United,3,1,0,8,3,1,0,7
Watford,Middlesbrough,4,2,0,11,1,0,0,3
Chelsea,Watford,19,20,0,51,1,10,1,21
Sheffield United,Bolton,1,2,0,4,1,2,0,4
Reading,Tottenham,3,4,0,12,6,5,0,21
Portsmouth,Watford,3,2,0,11,0,1,0,4
Reading,Charlton,3,2,0,4,0,0,0,2
Sheffield United,Man United,1,6,0,17,7,8,0,28
Fulham,Reading,3,5,2,24,6,6,0,21
West Ham,Sheffield United,7,5,0,20,1,1,0,14
Watford,Sheffield United,1,0,1,8,4,1,0,10
Reading,Bolton,3,1,0,9,3,2,0,11
Sheffield United,Charlton,3,2,0,10,0,1,0,4
Man City,Watford,22,30,0,66,1,4,0,20
Newcastle,Reading,6,7,0,27,3,4,0,10
Watford,Reading,1,0,0,5,1,0,0,1
Sheffield United,Aston Villa,7,5,1,15,1,2,0,9
Newcastle,Watford,10,8,0,23,10,10,0,35
Reading,Blackburn,1,1,1,7,4,2,0,13
Wigan,Sheffield United,0,0,0,6,3,1,0,7
Liverpool,Watford,24,23,0,57,0,1,0,24
Portsmouth,Sheffield United,3,3,0,6,0,1,0,6
Reading,Everton,6,3,0,16,3,3,0,23
Chelsea,Reading,7,7,0,26,1,4,0,8
Sheffield United,Man City,0,0,0,15,9,3,0,21
Watford,Arsenal,4,12,0,40,19,20,0,43
Man United,Reading,7,4,0,29,1,2,2,6
Sheffield United,Arsenal,6,2,0,9,3,3,0,12
Fulham,Watford,2,1,0,7,2,1,1,11
Middlesbrough,Sheffield United,3,3,0,7,0,1,0,3
Reading,West Ham,6,7,0,14,3,3,0,15
Sheffield United,Portsmouth,1,1,0,3,1,1,0,6
Watford,Liverpool,4,6,0,22,19,25,1,61
Everton,Reading,7,5,0,25,1,2,0,14
Aston Villa,Watford,6,6,0,20,12,7,0,26
Reading,Sheffield United,3,3,0,10,0,1,1,1
Watford,Blackburn,3,2,0,7,0,1,0,3
Reading,Wigan,6,5,1,20,3,6,0,27
Sheffield United,Fulham,4,3,0,14,1,1,0,6
Man United,Watford,15,8,0,34,3,0,0,16
Blackburn,Sheffield United,3,2,1,6,0,1,0,5
Man City,Reading,6,3,0,26,3,3,0,7
Watford,Bolton,0,0,0,3,3,1,0,4
Reading,Aston Villa,3,4,0,19,6,4,0,25
Sheffield United,Tottenham,3,3,0,10,3,4,0,6
West Ham,Watford,15,10,0,34,6,6,1,24
Watford,Wigan,1,1,0,6,1,1,1,13
Liverpool,Sheffield United,9,8,0,16,0,1,0,6
Middlesbrough,Reading,3,2,0,11,3,2,0,7
Watford,Everton,10,7,0,21,10,9,1,38
Arsenal,Reading,9,8,0,35,0,2,0,8
Sheffield United,Everton,1,1,0,8,4,2,0,5
Watford,Charlton,1,2,0,10,1,2,0,5
Chelsea,Sheffield United,7,9,0,22,1,3,0,9
Reading,Portsmouth,1,0,1,5,4,2,0,18
Tottenham,Watford,22,14,0,55,1,2,0,17
Bolton,Sheffield United,3,1,0,12,0,0,0,4
Watford,Chelsea,4,9,0,40,19,12,1,41
Tottenham,Reading,9,10,0,39,0,5,0,15
Middlesbrough,Watford,3,4,0,17,3,2,0,5
Reading,Liverpool,4,4,0,13,4,3,0,23
Sheffield United,Newcastle,3,2,0,21,6,4,1,10
Charlton,Reading,1,0,0,5,1,0,0,6
Watford,Portsmouth,3,4,0,10,0,2,0,6
Reading,Fulham,4,4,0,15,4,5,0,21
Sheffield United,West Ham,6,4,0,13,3,1,0,8
Man United,Sheffield United,3,3,0,14,3,2,0,6
Blackburn,Watford,3,3,0,10,0,1,0,4
Bolton,Reading,3,4,0,27,3,3,0,9
Charlton,Sheffield United,1,1,0,2,1,1,0,10
Watford,Man City,1,6,0,27,22,25,0,71
Sheffield United,Watford,4,2,0,10,1,1,0,5
Reading,Newcastle,7,5,0,20,1,3,0,16
Aston Villa,Sheffield United,6,4,0,13,0,0,1,3
Reading,Watford,0,0,0,7,3,2,0,4
Blackburn,Reading,4,7,0,12,1,5,0,14
Sheffield United,Wigan,0,1,0,5,3,2,1,3
Watford,Newcastle,10,8,0,27,4,6,0,22
Derby,Portsmouth,1,2,0,5,1,2,0,6
Derby,Birmingham,0,1,0,8,3,2,0,6
Sunderland,Reading,6,5,0,19,0,1,0,9
Reading,Derby,3,1,0,3,0,0,0,0
Birmingham,Reading,1,1,0,9,1,1,0,6
Reading,Sunderland,6,4,0,14,0,2,0,10
Derby,Wigan,0,0,1,1,3,1,0,4
Portsmouth,Derby,3,3,0,8,0,1,0,5
Birmingham,Derby,1,1,0,7,1,1,0,3
Wigan,Derby,3,2,0,18,0,0,0,3
Reading,Birmingham,3,2,0,8,0,1,0,7
Derby,Reading,0,0,0,2,3,4,0,7
Bolton,Stoke,10,11,1,35,1,3,0,17
Hull,Fulham,9,10,0,23,0,1,0,17
Blackburn,Hull,4,2,0,15,1,1,1,8
Stoke,Aston Villa,14,10,0,31,8,9,0,32
Hull,Wigan,3,2,0,11,3,6,0,10
Middlesbrough,Stoke,4,3,0,14,1,2,1,3
Newcastle,Hull,1,5,1,13,7,7,0,12
Stoke,Everton,11,11,1,50,14,12,0,62
Liverpool,Stoke,22,16,0,71,4,2,0,24
Hull,Everton,8,9,0,24,5,8,1,25
Arsenal,Hull,10,10,0,41,4,4,1,17
Stoke,Chelsea,8,7,1,28,20,19,0,76
Portsmouth,Stoke,3,3,0,23,3,3,1,12
Tottenham,Hull,10,6,0,52,4,1,0,19
Hull,West Ham,11,9,1,23,2,6,0,28
Stoke,Tottenham,9,11,3,47,21,19,4,73
West Brom,Hull,7,5,0,27,4,5,0,21
Man City,Stoke,25,26,0,79,4,3,0,23
Hull,Chelsea,1,3,0,21,13,11,0,39
Stoke,Sunderland,18,11,1,56,6,5,1,36
Man United,Hull,13,14,0,45,1,4,0,17
Stoke,Arsenal,18,13,1,45,9,12,2,61
Hull,Bolton,3,1,0,16,3,1,0,16
Wigan,Stoke,7,7,0,49,4,5,0,24
Man United,Stoke,28,29,0,81,1,7,0,35
Hull,Man City,4,6,0,23,10,12,1,34
Portsmouth,Hull,4,5,0,17,1,4,0,11
Stoke,West Brom,13,9,2,36,10,6,0,48
Stoke,Hull,13,8,0,17,1,2,0,14
Hull,Middlesbrough,6,6,0,12,0,3,1,11
Newcastle,Stoke,15,16,0,50,6,8,2,24
Liverpool,Hull,11,15,0,46,2,4,1,10
Stoke,Fulham,13,10,0,36,4,5,0,24
Blackburn,Stoke,4,4,0,28,7,4,0,20
Hull,Sunderland,4,3,2,29,10,8,3,20
Man City,Hull,11,12,0,41,2,4,0,20
Stoke,Man United,10,10,1,35,16,13,0,62
West Ham,Stoke,11,9,0,55,11,7,1,44
Hull,Aston Villa,4,2,0,18,7,3,0,16
Everton,Hull,13,14,0,34,1,3,1,6
Stoke,Liverpool,14,17,0,38,14,14,1,56
Chelsea,Stoke,28,28,0,110,1,5,1,27
Hull,Arsenal,0,4,2,12,15,15,0,42
Tottenham,Stoke,18,22,1,104,9,10,0,32
West Ham,Hull,15,11,0,40,0,1,2,26
Hull,West Brom,6,5,0,23,3,3,0,16
Stoke,Man City,11,9,2,39,14,14,0,63
Chelsea,Hull,13,8,0,31,1,1,1,13
Sunderland,Stoke,20,16,1,49,5,5,3,40
Stoke,Portsmouth,4,3,0,5,1,2,0,9
Hull,Tottenham,1,5,1,21,13,17,0,41
Aston Villa,Stoke,7,7,1,32,13,11,1,30
Hull,Blackburn,1,1,1,12,4,2,1,15
Fulham,Hull,4,4,0,23,4,3,0,9
Stoke,Bolton,7,7,0,24,4,4,0,31
Everton,Stoke,19,15,0,86,10,8,0,33
Hull,Newcastle,1,2,0,13,7,8,0,15
Stoke,Middlesbrough,6,3,0,12,0,0,0,10
Wigan,Hull,4,3,0,13,1,2,0,5
Hull,Portsmouth,2,0,0,4,2,0,1,4
West Brom,Stoke,10,6,0,55,16,11,1,28
Middlesbrough,Hull,6,4,0,13,0,1,0,8
Stoke,Newcastle,16,11,0,33,7,6,0,30
Stoke,Blackburn,12,8,0,29,0,1,1,21
Sunderland,Hull,9,9,2,18,6,6,0,29
Fulham,Stoke,15,7,0,35,3,2,1,14
Hull,Liverpool,10,7,1,23,4,4,0,33
Stoke,West Ham,12,10,0,39,12,11,0,49
Aston Villa,Hull,12,9,0,27,0,2,0,11
Hull,Stoke,5,4,1,21,8,6,1,17
Bolton,Hull,2,3,0,15,2,3,0,19
Stoke,Wigan,6,8,0,25,6,7,1,32
Arsenal,Stoke,30,25,0,80,0,4,0,29
Hull,Man United,1,3,0,27,13,8,2,30
Stoke,Burnley,7,6,0,16,4,3,0,20
Wolves,West Ham,13,8,0,43,7,6,0,38
Wigan,Wolves,6,5,0,32,3,3,1,10
Burnley,Man United,7,4,0,19,19,11,1,55
Birmingham,Stoke,4,1,0,10,1,0,0,8
Burnley,Everton,22,17,0,36,4,12,2,49
Chelsea,Burnley,16,17,3,66,7,7,0,18
Wolves,Hull,1,1,0,17,1,1,0,4
Liverpool,Burnley,19,15,0,69,4,3,0,22
Burnley,Sunderland,7,7,0,15,1,2,0,14
Hull,Birmingham,0,0,0,11,3,1,0,9
Tottenham,Burnley,25,22,0,70,1,3,0,24
Sunderland,Wolves,4,6,0,23,4,5,0,25
Burnley,Birmingham,3,2,0,13,0,1,0,6
Blackburn,Burnley,3,3,0,6,0,2,0,5
Burnley,Wigan,0,1,0,9,3,3,0,8
Burnley,Hull,7,4,0,10,1,1,1,10
Stoke,Wolves,7,7,0,19,1,3,0,13
Man City,Burnley,23,26,1,61,2,6,0,17
Burnley,Aston Villa,5,9,0,34,14,15,0,50
West Ham,Burnley,18,15,0,61,6,11,2,26
Portsmouth,Burnley,3,2,0,4,0,0,0,8
Burnley,Fulham,2,2,0,11,2,2,0,9
Burnley,Arsenal,3,2,0,26,21,8,0,33
Wolves,Burnley,10,4,0,29,7,5,0,22
Burnley,Bolton,1,1,0,7,1,1,0,5
Everton,Burnley,21,17,0,62,6,7,2,41
Stoke,Birmingham,3,3,0,18,3,3,0,15
Man United,Burnley,20,20,1,69,5,9,0,25
Wolves,Wigan,3,4,1,20,6,5,1,29
